proposal_id,proposal_uuid,negotiation_round,proposal_version,parent_proposal_id,status,carrier_id,origin,origin_name,destination,destination_name,container_size,quantity,teu,earliest_need_due,latest_need_due,train_id,train_origin,train_destination,train_path,departure_time,arrival_time,max_earliness_hours,min_earliness_hours,estimated_rail_charge_krw,need_allocation
PROP0011,ff955248-e191-5015-a709-a0ee23bb5cf5,2,2,PROP0011,UPDATED_PROPOSAL,CARRIER_C,BUGANG,부강화물역 CY,DONGSAN,동산역 CY,40FT,1,2,2026-08-12 06:00,2026-08-12 06:00,CAND0344,UIWANG,GWANGYANG,UIWANG > BUGANG > DONGSAN > GWANGYANG,2026-08-11 14:00,2026-08-11 22:00,8,8,77078.4,NEED0093:1
PROP0012,06153e5b-bff1-51e2-85f6-c7f3c6d84a40,2,2,PROP0013,UPDATED_PROPOSAL,CARRIER_C,UIWANG,의왕ICD(오봉역),BUSAN,부산신항,20FT,1,1,2026-08-12 14:00,2026-08-12 14:00,CAND0054,UIWANG,BUSAN,UIWANG > BUGANG > YAKMOK > BUSAN,2026-08-10 03:00,2026-08-10 21:00,41,41,153614.23,NEED0083:1
PROP0013,e730b4e5-e128-5ba2-82c8-283383dd3c0d,2,2,PROP0012,UPDATED_PROPOSAL,CARRIER_C,UIWANG,의왕ICD(오봉역),DONGSAN,동산역 CY,20FT,2,2,2026-08-14 09:00,2026-08-14 12:00,CAND0344,UIWANG,GWANGYANG,UIWANG > BUGANG > DONGSAN > GWANGYANG,2026-08-11 09:00,2026-08-11 22:00,62,59,180381.22,NEED0088:1|NEED0089:1
PROP0014,60496f41-84d7-5754-a667-2d96dee81470,2,2,PROP0013,UPDATED_PROPOSAL,CARRIER_C,YAKMOK,약목역 CY,BUSAN,부산신항,20FT,1,1,2026-08-11 13:00,2026-08-11 13:00,CAND0054,UIWANG,BUSAN,UIWANG > BUGANG > YAKMOK > BUSAN,2026-08-10 13:00,2026-08-10 21:00,16,16,54870.41,NEED0082:1
PROP0015,68496310-c896-5877-adef-e6fb6ef532ee,2,2,PROP0015,UPDATED_PROPOSAL,CARRIER_D,BUGANG,부강화물역 CY,GWANGYANG,신광양항,40FT,1,2,2026-08-14 17:00,2026-08-14 17:00,CAND0344,UIWANG,GWANGYANG,UIWANG > BUGANG > DONGSAN > GWANGYANG,2026-08-11 14:00,2026-08-12 03:00,62,62,165049.6,NEED0097:1
PROP0016,bd6fcae3-51b9-5731-bdc0-73d304bdcd92,2,2,PROP0014,UPDATED_PROPOSAL,CARRIER_D,DONGSAN,동산역 CY,GWANGYANG,신광양항,40FT,1,2,2026-08-13 08:00,2026-08-13 08:00,CAND0344,UIWANG,GWANGYANG,UIWANG > BUGANG > DONGSAN > GWANGYANG,2026-08-11 19:00,2026-08-12 03:00,29,29,87971.2,NEED0096:1
PROP0017,19bb535b-774f-57c1-9932-6b16c86b926c,2,2,PROP0014,UPDATED_PROPOSAL,CARRIER_D,UIWANG,의왕ICD(오봉역),GWANGYANG,신광양항,40FT,1,2,2026-08-12 18:00,2026-08-12 18:00,CAND0344,UIWANG,GWANGYANG,UIWANG > BUGANG > DONGSAN > GWANGYANG,2026-08-11 09:00,2026-08-12 03:00,15,15,227801.6,NEED0095:1
PROP0018,ecdac9d2-7c3f-5963-8317-2da10e340a9e,2,2,PROP0016|PROP0018,UPDATED_PROPOSAL,CARRIER_E,BUGANG,부강화물역 CY,GWANGYANG,신광양항,20FT,4,4,2026-08-13 06:00,2026-08-14 16:00,CAND0344,UIWANG,GWANGYANG,UIWANG > BUGANG > DONGSAN > GWANGYANG,2026-08-11 14:00,2026-08-12 03:00,61,27,425827.96,NEED0107:1|NEED0108:1|NEED0109:1|NEED0110:1
PROP0019,eb3aabab-354c-500e-97dc-b45a4e554c9d,2,2,PROP0017,UPDATED_PROPOSAL,CARRIER_E,UIWANG,의왕ICD(오봉역),BUSAN,부산신항,20FT,4,4,2026-08-11 15:00,2026-08-13 09:00,CAND0054,UIWANG,BUSAN,UIWANG > BUGANG > YAKMOK > BUSAN,2026-08-10 03:00,2026-08-10 21:00,60,18,614456.92,NEED0098:1|NEED0099:1|NEED0100:1|NEED0101:1
PROP0020,ed914d05-137c-56ff-8cfe-07a9e932c2aa,2,2,PROP0016,UPDATED_PROPOSAL,CARRIER_E,UIWANG,의왕ICD(오봉역),GWANGYANG,신광양항,20FT,1,1,2026-08-12 05:00,2026-08-12 05:00,CAND0344,UIWANG,GWANGYANG,UIWANG > BUGANG > DONGSAN > GWANGYANG,2026-08-11 09:00,2026-08-12 03:00,2,2,146932.03,NEED0106:1
PROP0021,5e50d8b4-261a-570d-9cfa-355148b93ad2,2,2,PROP0020,UPDATED_PROPOSAL,CARRIER_E,UIWANG,의왕ICD(오봉역),YAKMOK,약목역 CY,40FT,1,2,2026-08-12 10:00,2026-08-12 10:00,CAND0054,UIWANG,BUSAN,UIWANG > BUGANG > YAKMOK > BUSAN,2026-08-10 03:00,2026-08-10 16:00,42,42,153091.2,NEED0121:1
PROP0022,bfea9a4c-f314-58f7-8df9-001733fc9294,2,2,PROP0021,UPDATED_PROPOSAL,CARRIER_F,BUGANG,부강화물역 CY,GWANGYANG,신광양항,20FT,9,9,2026-08-12 18:00,2026-08-14 08:00,CAND0344,UIWANG,GWANGYANG,UIWANG > BUGANG > DONGSAN > GWANGYANG,2026-08-11 14:00,2026-08-12 03:00,53,15,958112.91,NEED0135:1|NEED0136:1|NEED0137:1|NEED0138:1|NEED0139:2|NEED0140:1|NEED0141:1|NEED0142:1
PROP0023,ef05fdca-57f8-50aa-b29f-12dfcfa47d4a,2,2,PROP0022,UPDATED_PROPOSAL,CARRIER_F,UIWANG,의왕ICD(오봉역),BUSAN,부산신항,20FT,3,3,2026-08-12 07:00,2026-08-13 08:00,CAND0054,UIWANG,BUSAN,UIWANG > BUGANG > YAKMOK > BUSAN,2026-08-10 03:00,2026-08-10 21:00,59,34,460842.69,NEED0123:1|NEED0124:1|NEED0125:1
PROP0024,79a2ef70-7ded-570f-a469-80d7ebbd5d09,2,2,PROP0023,UPDATED_PROPOSAL,CARRIER_F,UIWANG,의왕ICD(오봉역),GWANGYANG,신광양항,20FT,9,9,2026-08-12 08:00,2026-08-14 18:00,CAND0344,UIWANG,GWANGYANG,UIWANG > BUGANG > DONGSAN > GWANGYANG,2026-08-11 09:00,2026-08-12 03:00,63,5,1322388.27,NEED0130:1|NEED0131:1|NEED0132:1|NEED0133:1|NEED0134:1|NEED0143:1|NEED0144:1|NEED0145:1|NEED0146:1
PROP0025,49b09e46-0636-5eb5-a71f-1a3df7924d5a,2,2,PROP0024,UPDATED_PROPOSAL,CARRIER_F,YAKMOK,약목역 CY,BUSAN,부산신항,20FT,1,1,2026-08-11 14:00,2026-08-11 14:00,CAND0054,UIWANG,BUSAN,UIWANG > BUGANG > YAKMOK > BUSAN,2026-08-10 13:00,2026-08-10 21:00,17,17,54870.41,NEED0122:1
