detail_id,need_id,carrier_id,origin,destination,container_size,quantity,teu,original_need_due_time,effective_need_due_time,earliest_allowed_arrival,train_id,departure_time,arrival_time,earliness_hours,estimated_rail_charge_krw
DETAIL0050,NEED0069,CARRIER_B,UIWANG,BUSAN,20FT,1,1,2026-08-12 17:00,2026-08-12 17:00,2026-08-10 00:00,CAND0054,2026-08-10 03:00,2026-08-10 21:00,44,153614.23
DETAIL0051,NEED0070,CARRIER_B,UIWANG,BUSAN,20FT,1,1,2026-08-13 07:00,2026-08-13 07:00,2026-08-10 07:00,CAND0054,2026-08-10 03:00,2026-08-10 21:00,58,153614.23
DETAIL0052,NEED0071,CARRIER_B,UIWANG,BUSAN,20FT,1,1,2026-08-13 08:00,2026-08-13 08:00,2026-08-10 08:00,CAND0054,2026-08-10 03:00,2026-08-10 21:00,59,153614.23
DETAIL0053,NEED0072,CARRIER_B,UIWANG,BUSAN,20FT,1,1,2026-08-13 11:00,2026-08-13 11:00,2026-08-10 11:00,CAND0054,2026-08-10 03:00,2026-08-10 21:00,62,153614.23
DETAIL0054,NEED0073,CARRIER_B,UIWANG,BUSAN,20FT,1,1,2026-08-13 12:00,2026-08-13 12:00,2026-08-10 12:00,CAND0054,2026-08-10 03:00,2026-08-10 21:00,63,153614.23
DETAIL0055,NEED0048,CARRIER_B,UIWANG,BUGANG,20FT,1,1,2026-08-13 10:00,2026-08-13 10:00,2026-08-10 10:00,CAND0344,2026-08-11 09:00,2026-08-11 17:00,41,42689.71
DETAIL0056,NEED0049,CARRIER_B,UIWANG,BUGANG,20FT,2,2,2026-08-13 13:00,2026-08-13 13:00,2026-08-10 13:00,CAND0344,2026-08-11 09:00,2026-08-11 17:00,44,85379.42
DETAIL0057,NEED0050,CARRIER_B,UIWANG,BUGANG,20FT,1,1,2026-08-13 14:00,2026-08-13 14:00,2026-08-10 14:00,CAND0344,2026-08-11 09:00,2026-08-11 17:00,45,42689.71
DETAIL0058,NEED0051,CARRIER_B,UIWANG,BUGANG,20FT,1,1,2026-08-13 16:00,2026-08-13 16:00,2026-08-10 16:00,CAND0344,2026-08-11 09:00,2026-08-11 17:00,47,42689.71
DETAIL0059,NEED0052,CARRIER_B,UIWANG,BUGANG,20FT,1,1,2026-08-14 06:00,2026-08-14 06:00,2026-08-11 06:00,CAND0344,2026-08-11 09:00,2026-08-11 17:00,61,42689.71
DETAIL0060,NEED0053,CARRIER_B,UIWANG,BUGANG,20FT,1,1,2026-08-14 15:00,2026-08-14 15:00,2026-08-11 15:00,CAND0344,2026-08-11 09:00,2026-08-11 17:00,70,42689.71
DETAIL0061,NEED0054,CARRIER_B,UIWANG,BUGANG,20FT,1,1,2026-08-14 17:00,2026-08-14 17:00,2026-08-11 17:00,CAND0344,2026-08-11 09:00,2026-08-11 17:00,72,42689.71
DETAIL0062,NEED0077,CARRIER_B,UIWANG,GWANGYANG,20FT,1,1,2026-08-12 10:00,2026-08-12 10:00,2026-08-10 00:00,CAND0344,2026-08-11 09:00,2026-08-12 03:00,7,146932.03
DETAIL0063,NEED0078,CARRIER_B,UIWANG,GWANGYANG,20FT,1,1,2026-08-12 18:00,2026-08-12 18:00,2026-08-10 00:00,CAND0344,2026-08-11 09:00,2026-08-12 03:00,15,146932.03
DETAIL0064,NEED0079,CARRIER_B,UIWANG,GWANGYANG,20FT,1,1,2026-08-13 13:00,2026-08-13 13:00,2026-08-10 13:00,CAND0344,2026-08-11 09:00,2026-08-12 03:00,34,146932.03
DETAIL0065,NEED0080,CARRIER_B,UIWANG,GWANGYANG,20FT,1,1,2026-08-13 15:00,2026-08-13 15:00,2026-08-10 15:00,CAND0344,2026-08-11 09:00,2026-08-12 03:00,36,146932.03
DETAIL0066,NEED0081,CARRIER_B,UIWANG,GWANGYANG,20FT,1,1,2026-08-14 10:00,2026-08-14 10:00,2026-08-11 10:00,CAND0344,2026-08-11 09:00,2026-08-12 03:00,55,146932.03
DETAIL0067,NEED0082,CARRIER_C,YAKMOK,BUSAN,20FT,1,1,2026-08-11 13:00,2026-08-11 13:00,2026-08-10 00:00,CAND0054,2026-08-10 13:00,2026-08-10 21:00,16,54870.41
DETAIL0068,NEED0083,CARRIER_C,UIWANG,BUSAN,20FT,1,1,2026-08-12 14:00,2026-08-12 14:00,2026-08-10 00:00,CAND0054,2026-08-10 03:00,2026-08-10 21:00,41,153614.23
DETAIL0069,NEED0084,CARRIER_C,BUGANG,DONGSAN,20FT,1,1,2026-08-12 18:00,2026-08-12 18:00,2026-08-10 00:00,CAND0344,2026-08-11 14:00,2026-08-11 22:00,20,49715.57
DETAIL0070,NEED0085,CARRIER_C,BUGANG,DONGSAN,20FT,1,1,2026-08-13 09:00,2026-08-13 09:00,2026-08-10 09:00,CAND0344,2026-08-11 14:00,2026-08-11 22:00,35,49715.57
DETAIL0071,NEED0087,CARRIER_C,BUGANG,DONGSAN,20FT,1,1,2026-08-14 06:00,2026-08-14 06:00,2026-08-11 06:00,CAND0344,2026-08-11 14:00,2026-08-11 22:00,56,49715.57
DETAIL0072,NEED0088,CARRIER_C,UIWANG,DONGSAN,20FT,1,1,2026-08-14 09:00,2026-08-14 09:00,2026-08-11 09:00,CAND0344,2026-08-11 09:00,2026-08-11 22:00,59,90190.61
DETAIL0073,NEED0089,CARRIER_C,UIWANG,DONGSAN,20FT,1,1,2026-08-14 12:00,2026-08-14 12:00,2026-08-11 12:00,CAND0344,2026-08-11 09:00,2026-08-11 22:00,62,90190.61
DETAIL0074,NEED0093,CARRIER_C,BUGANG,DONGSAN,40FT,1,2,2026-08-12 06:00,2026-08-12 06:00,2026-08-10 00:00,CAND0344,2026-08-11 14:00,2026-08-11 22:00,8,77078.4
DETAIL0075,NEED0095,CARRIER_D,UIWANG,GWANGYANG,40FT,1,2,2026-08-12 18:00,2026-08-12 18:00,2026-08-10 00:00,CAND0344,2026-08-11 09:00,2026-08-12 03:00,15,227801.6
DETAIL0076,NEED0096,CARRIER_D,DONGSAN,GWANGYANG,40FT,1,2,2026-08-13 08:00,2026-08-13 08:00,2026-08-10 08:00,CAND0344,2026-08-11 19:00,2026-08-12 03:00,29,87971.2
DETAIL0077,NEED0097,CARRIER_D,BUGANG,GWANGYANG,40FT,1,2,2026-08-14 17:00,2026-08-14 17:00,2026-08-11 17:00,CAND0344,2026-08-11 14:00,2026-08-12 03:00,62,165049.6
DETAIL0078,NEED0098,CARRIER_E,UIWANG,BUSAN,20FT,1,1,2026-08-11 15:00,2026-08-11 15:00,2026-08-10 00:00,CAND0054,2026-08-10 03:00,2026-08-10 21:00,18,153614.23
DETAIL0079,NEED0099,CARRIER_E,UIWANG,BUSAN,20FT,1,1,2026-08-12 05:00,2026-08-12 05:00,2026-08-10 00:00,CAND0054,2026-08-10 03:00,2026-08-10 21:00,32,153614.23
DETAIL0080,NEED0100,CARRIER_E,UIWANG,BUSAN,20FT,1,1,2026-08-12 09:00,2026-08-12 09:00,2026-08-10 00:00,CAND0054,2026-08-10 03:00,2026-08-10 21:00,36,153614.23
DETAIL0081,NEED0101,CARRIER_E,UIWANG,BUSAN,20FT,1,1,2026-08-13 09:00,2026-08-13 09:00,2026-08-10 09:00,CAND0054,2026-08-10 03:00,2026-08-10 21:00,60,153614.23
DETAIL0082,NEED0121,CARRIER_E,UIWANG,YAKMOK,40FT,1,2,2026-08-12 10:00,2026-08-12 10:00,2026-08-10 00:00,CAND0054,2026-08-10 03:00,2026-08-10 16:00,42,153091.2
DETAIL0083,NEED0106,CARRIER_E,UIWANG,GWANGYANG,20FT,1,1,2026-08-12 05:00,2026-08-12 05:00,2026-08-10 00:00,CAND0344,2026-08-11 09:00,2026-08-12 03:00,2,146932.03
DETAIL0084,NEED0107,CARRIER_E,BUGANG,GWANGYANG,20FT,1,1,2026-08-13 06:00,2026-08-13 06:00,2026-08-10 06:00,CAND0344,2026-08-11 14:00,2026-08-12 03:00,27,106456.99
DETAIL0085,NEED0108,CARRIER_E,BUGANG,GWANGYANG,20FT,1,1,2026-08-13 14:00,2026-08-13 14:00,2026-08-10 14:00,CAND0344,2026-08-11 14:00,2026-08-12 03:00,35,106456.99
DETAIL0086,NEED0109,CARRIER_E,BUGANG,GWANGYANG,20FT,1,1,2026-08-13 17:00,2026-08-13 17:00,2026-08-10 17:00,CAND0344,2026-08-11 14:00,2026-08-12 03:00,38,106456.99
DETAIL0087,NEED0110,CARRIER_E,BUGANG,GWANGYANG,20FT,1,1,2026-08-14 16:00,2026-08-14 16:00,2026-08-11 16:00,CAND0344,2026-08-11 14:00,2026-08-12 03:00,61,106456.99
DETAIL0088,NEED0122,CARRIER_F,YAKMOK,BUSAN,20FT,1,1,2026-08-11 14:00,2026-08-11 14:00,2026-08-10 00:00,CAND0054,2026-08-10 13:00,2026-08-10 21:00,17,54870.41
DETAIL0089,NEED0123,CARRIER_F,UIWANG,BUSAN,20FT,1,1,2026-08-12 07:00,2026-08-12 07:00,2026-08-10 00:00,CAND0054,2026-08-10 03:00,2026-08-10 21:00,34,153614.23
DETAIL0090,NEED0124,CARRIER_F,UIWANG,BUSAN,20FT,1,1,2026-08-12 11:00,2026-08-12 11:00,2026-08-10 00:00,CAND0054,2026-08-10 03:00,2026-08-10 21:00,38,153614.23
DETAIL0091,NEED0125,CARRIER_F,UIWANG,BUSAN,20FT,1,1,2026-08-13 08:00,2026-08-13 08:00,2026-08-10 08:00,CAND0054,2026-08-10 03:00,2026-08-10 21:00,59,153614.23
DETAIL0092,NEED0130,CARRIER_F,UIWANG,GWANGYANG,20FT,1,1,2026-08-12 08:00,2026-08-12 08:00,2026-08-10 00:00,CAND0344,2026-08-11 09:00,2026-08-12 03:00,5,146932.03
DETAIL0093,NEED0131,CARRIER_F,UIWANG,GWANGYANG,20FT,1,1,2026-08-12 10:00,2026-08-12 10:00,2026-08-10 00:00,CAND0344,2026-08-11 09:00,2026-08-12 03:00,7,146932.03
DETAIL0094,NEED0132,CARRIER_F,UIWANG,GWANGYANG,20FT,1,1,2026-08-12 11:00,2026-08-12 11:00,2026-08-10 00:00,CAND0344,2026-08-11 09:00,2026-08-12 03:00,8,146932.03
DETAIL0095,NEED0133,CARRIER_F,UIWANG,GWANGYANG,20FT,1,1,2026-08-12 13:00,2026-08-12 13:00,2026-08-10 00:00,CAND0344,2026-08-11 09:00,2026-08-12 03:00,10,146932.03
DETAIL0096,NEED0134,CARRIER_F,UIWANG,GWANGYANG,20FT,1,1,2026-08-12 14:00,2026-08-12 14:00,2026-08-10 00:00,CAND0344,2026-08-11 09:00,2026-08-12 03:00,11,146932.03
DETAIL0097,NEED0135,CARRIER_F,BUGANG,GWANGYANG,20FT,1,1,2026-08-12 18:00,2026-08-12 18:00,2026-08-10 00:00,CAND0344,2026-08-11 14:00,2026-08-12 03:00,15,106456.99
DETAIL0098,NEED0136,CARRIER_F,BUGANG,GWANGYANG,20FT,1,1,2026-08-13 08:00,2026-08-13 08:00,2026-08-10 08:00,CAND0344,2026-08-11 14:00,2026-08-12 03:00,29,106456.99
DETAIL0099,NEED0137,CARRIER_F,BUGANG,GWANGYANG,20FT,1,1,2026-08-13 11:00,2026-08-13 11:00,2026-08-10 11:00,CAND0344,2026-08-11 14:00,2026-08-12 03:00,32,106456.99
DETAIL0100,NEED0138,CARRIER_F,BUGANG,GWANGYANG,20FT,1,1,2026-08-13 12:00,2026-08-13 12:00,2026-08-10 12:00,CAND0344,2026-08-11 14:00,2026-08-12 03:00,33,106456.99
DETAIL0101,NEED0139,CARRIER_F,BUGANG,GWANGYANG,20FT,2,2,2026-08-13 15:00,2026-08-13 15:00,2026-08-10 15:00,CAND0344,2026-08-11 14:00,2026-08-12 03:00,36,212913.98
DETAIL0102,NEED0140,CARRIER_F,BUGANG,GWANGYANG,20FT,1,1,2026-08-13 16:00,2026-08-13 16:00,2026-08-10 16:00,CAND0344,2026-08-11 14:00,2026-08-12 03:00,37,106456.99
DETAIL0103,NEED0141,CARRIER_F,BUGANG,GWANGYANG,20FT,1,1,2026-08-14 05:00,2026-08-14 05:00,2026-08-11 05:00,CAND0344,2026-08-11 14:00,2026-08-12 03:00,50,106456.99
DETAIL0104,NEED0142,CARRIER_F,BUGANG,GWANGYANG,20FT,1,1,2026-08-14 08:00,2026-08-14 08:00,2026-08-11 08:00,CAND0344,2026-08-11 14:00,2026-08-12 03:00,53,106456.99
DETAIL0105,NEED0143,CARRIER_F,UIWANG,GWANGYANG,20FT,1,1,2026-08-14 11:00,2026-08-14 11:00,2026-08-11 11:00,CAND0344,2026-08-11 09:00,2026-08-12 03:00,56,146932.03
DETAIL0106,NEED0144,CARRIER_F,UIWANG,GWANGYANG,20FT,1,1,2026-08-14 14:00,2026-08-14 14:00,2026-08-11 14:00,CAND0344,2026-08-11 09:00,2026-08-12 03:00,59,146932.03
DETAIL0107,NEED0145,CARRIER_F,UIWANG,GWANGYANG,20FT,1,1,2026-08-14 15:00,2026-08-14 15:00,2026-08-11 15:00,CAND0344,2026-08-11 09:00,2026-08-12 03:00,60,146932.03
DETAIL0108,NEED0146,CARRIER_F,UIWANG,GWANGYANG,20FT,1,1,2026-08-14 18:00,2026-08-14 18:00,2026-08-11 18:00,CAND0344,2026-08-11 09:00,2026-08-12 03:00,63,146932.03
