need_id,carrier_id,destination,destination_name,container_size,quantity,teu,due_time,due_slot,priority,need_reason,inventory_lb,rail_served_quantity,rail_served_teu,raw_forecast_unserved_quantity,raw_forecast_unserved_teu,carrier_commitment_quantity,korail_confirmed_quantity,korail_unconfirmed_commitment_quantity,noncommitted_quantity
NEED0042,CARRIER_C,GWANGYANG,신광양항,20FT,1,1,2026-08-12 14:00,62,1,FORECAST_STOCKOUT,0,1,1,0,0,0,0,0,0
NEED0043,CARRIER_C,GWANGYANG,신광양항,20FT,1,1,2026-08-13 12:00,84,1,FORECAST_STOCKOUT,0,1,1,0,0,0,0,0,0
NEED0044,CARRIER_C,GWANGYANG,신광양항,20FT,2,2,2026-08-13 13:00,85,1,FORECAST_STOCKOUT,0,2,2,0,0,0,0,0,0
NEED0045,CARRIER_C,YAKMOK,약목역 CY,40FT,1,2,2026-08-12 16:00,64,1,FORECAST_STOCKOUT,0,1,2,0,0,0,0,0,0
NEED0046,CARRIER_C,YAKMOK,약목역 CY,40FT,1,2,2026-08-15 13:00,133,1,FORECAST_STOCKOUT,0,1,2,0,0,0,0,0,0
NEED0047,CARRIER_D,BUSAN,부산신항,20FT,1,1,2026-08-12 09:00,57,1,FORECAST_STOCKOUT,0,0,0,1,1,0,0,0,0
NEED0048,CARRIER_D,BUSAN,부산신항,20FT,1,1,2026-08-12 10:00,58,1,FORECAST_STOCKOUT,0,0,0,1,1,0,0,0,0
NEED0049,CARRIER_D,BUSAN,부산신항,20FT,2,2,2026-08-12 11:00,59,1,FORECAST_STOCKOUT,0,0,0,2,2,0,0,0,0
NEED0050,CARRIER_D,GWANGYANG,신광양항,20FT,1,1,2026-08-13 15:00,87,1,FORECAST_STOCKOUT,0,1,1,0,0,0,0,0,0
NEED0051,CARRIER_D,GWANGYANG,신광양항,20FT,1,1,2026-08-14 05:00,101,1,FORECAST_STOCKOUT,0,1,1,0,0,0,0,0,0
NEED0052,CARRIER_D,GWANGYANG,신광양항,20FT,1,1,2026-08-14 10:00,106,1,FORECAST_STOCKOUT,0,1,1,0,0,0,0,0,0
NEED0053,CARRIER_D,GWANGYANG,신광양항,20FT,1,1,2026-08-14 14:00,110,1,FORECAST_STOCKOUT,0,1,1,0,0,0,0,0,0
NEED0054,CARRIER_D,GWANGYANG,신광양항,20FT,1,1,2026-08-14 18:00,114,1,FORECAST_STOCKOUT,0,1,1,0,0,0,0,0,0
NEED0055,CARRIER_E,DONGSAN,동산역 CY,20FT,2,2,2026-08-14 12:00,108,1,FORECAST_STOCKOUT,0,2,2,0,0,0,0,0,0
NEED0056,CARRIER_E,DONGSAN,동산역 CY,20FT,1,1,2026-08-15 10:00,130,1,FORECAST_STOCKOUT,0,1,1,0,0,0,0,0,0
NEED0057,CARRIER_E,DONGSAN,동산역 CY,40FT,1,2,2026-08-14 07:00,103,1,FORECAST_STOCKOUT,0,1,2,0,0,0,0,0,0
NEED0058,CARRIER_E,DONGSAN,동산역 CY,40FT,1,2,2026-08-16 14:00,158,1,FORECAST_STOCKOUT,0,1,2,0,0,0,0,0,0
NEED0059,CARRIER_E,GWANGYANG,신광양항,20FT,2,2,2026-08-11 08:00,32,1,FORECAST_STOCKOUT,0,2,2,0,0,0,0,0,0
NEED0060,CARRIER_E,GWANGYANG,신광양항,20FT,1,1,2026-08-11 09:00,33,1,FORECAST_STOCKOUT,0,1,1,0,0,0,0,0,0
NEED0061,CARRIER_E,GWANGYANG,신광양항,20FT,3,3,2026-08-11 11:00,35,1,FORECAST_STOCKOUT,0,3,3,0,0,0,0,0,0
NEED0062,CARRIER_E,GWANGYANG,신광양항,20FT,2,2,2026-08-11 14:00,38,1,FORECAST_STOCKOUT,0,2,2,0,0,0,0,0,0
NEED0063,CARRIER_E,GWANGYANG,신광양항,20FT,1,1,2026-08-12 13:00,61,1,FORECAST_STOCKOUT,0,1,1,0,0,0,0,0,0
NEED0064,CARRIER_E,GWANGYANG,신광양항,20FT,1,1,2026-08-13 06:00,78,1,FORECAST_STOCKOUT,0,1,1,0,0,0,0,0,0
NEED0065,CARRIER_E,GWANGYANG,신광양항,20FT,1,1,2026-08-13 08:00,80,1,FORECAST_STOCKOUT,0,1,1,0,0,0,0,0,0
NEED0066,CARRIER_E,GWANGYANG,신광양항,20FT,1,1,2026-08-13 14:00,86,1,FORECAST_STOCKOUT,0,1,1,0,0,0,0,0,0
NEED0067,CARRIER_E,GWANGYANG,신광양항,20FT,1,1,2026-08-14 11:00,107,1,FORECAST_STOCKOUT,0,1,1,0,0,0,0,0,0
NEED0068,CARRIER_E,YAKMOK,약목역 CY,20FT,1,1,2026-08-14 16:00,112,1,FORECAST_STOCKOUT,0,1,1,0,0,0,0,0,0
NEED0069,CARRIER_E,YAKMOK,약목역 CY,40FT,1,2,2026-08-10 18:00,18,1,FORECAST_STOCKOUT,0,0,0,1,2,0,0,0,0
NEED0070,CARRIER_E,YAKMOK,약목역 CY,40FT,1,2,2026-08-12 09:00,57,1,FORECAST_STOCKOUT,0,1,2,0,0,0,0,0,0
NEED0071,CARRIER_E,YAKMOK,약목역 CY,40FT,1,2,2026-08-12 16:00,64,1,FORECAST_STOCKOUT,0,1,2,0,0,0,0,0,0
NEED0072,CARRIER_E,YAKMOK,약목역 CY,40FT,1,2,2026-08-13 14:00,86,1,FORECAST_STOCKOUT,0,1,2,0,0,0,0,0,0
NEED0073,CARRIER_E,YAKMOK,약목역 CY,40FT,1,2,2026-08-16 07:00,151,1,FORECAST_STOCKOUT,0,1,2,0,0,0,0,0,0
NEED0074,CARRIER_F,BUGANG,부강화물역 CY,20FT,1,1,2026-08-14 10:00,106,1,FORECAST_STOCKOUT,0,1,1,0,0,0,0,0,0
NEED0075,CARRIER_F,BUGANG,부강화물역 CY,20FT,1,1,2026-08-14 11:00,107,1,FORECAST_STOCKOUT,0,1,1,0,0,0,0,0,0
NEED0076,CARRIER_F,DONGSAN,동산역 CY,20FT,1,1,2026-08-14 07:00,103,1,FORECAST_STOCKOUT,0,1,1,0,0,0,0,0,0
NEED0077,CARRIER_F,DONGSAN,동산역 CY,20FT,1,1,2026-08-16 17:00,161,1,FORECAST_STOCKOUT,0,1,1,0,0,0,0,0,0
NEED0078,CARRIER_F,GWANGYANG,신광양항,20FT,1,1,2026-08-10 18:00,18,1,FORECAST_STOCKOUT,0,0,0,1,1,0,0,0,0
NEED0079,CARRIER_F,GWANGYANG,신광양항,20FT,1,1,2026-08-12 14:00,62,1,FORECAST_STOCKOUT,0,1,1,0,0,0,0,0,0
NEED0080,CARRIER_F,GWANGYANG,신광양항,20FT,1,1,2026-08-13 15:00,87,1,FORECAST_STOCKOUT,0,1,1,0,0,0,0,0,0
NEED0081,CARRIER_F,GWANGYANG,신광양항,20FT,2,2,2026-08-13 16:00,88,1,FORECAST_STOCKOUT,0,2,2,0,0,0,0,0,0
NEED0082,CARRIER_F,GWANGYANG,신광양항,20FT,1,1,2026-08-13 17:00,89,1,FORECAST_STOCKOUT,0,1,1,0,0,0,0,0,0
NEED0083,CARRIER_F,GWANGYANG,신광양항,20FT,1,1,2026-08-14 11:00,107,1,FORECAST_STOCKOUT,0,1,1,0,0,0,0,0,0
NEED0084,CARRIER_F,GWANGYANG,신광양항,20FT,1,1,2026-08-14 14:00,110,1,FORECAST_STOCKOUT,0,1,1,0,0,0,0,0,0
NEED0085,CARRIER_F,GWANGYANG,신광양항,20FT,1,1,2026-08-14 16:00,112,1,FORECAST_STOCKOUT,0,1,1,0,0,0,0,0,0
NEED0086,CARRIER_F,GWANGYANG,신광양항,20FT,1,1,2026-08-14 18:00,114,1,FORECAST_STOCKOUT,0,1,1,0,0,0,0,0,0
