detail_id,need_id,carrier_id,origin,destination,container_size,quantity,teu,original_need_due_time,effective_need_due_time,earliest_allowed_arrival,train_id,departure_time,arrival_time,earliness_hours,estimated_rail_charge_krw
DETAIL0012,NEED0006,CARRIER_A,UIWANG,DONGSAN,40FT,1,2,2026-08-15 07:00,2026-08-15 07:00,2026-08-10 00:00,CAND0367,2026-08-11 00:00,2026-08-11 05:00,98,139830.4
DETAIL0013,NEED0007,CARRIER_A,BUGANG,GWANGYANG,20FT,1,1,2026-08-15 11:00,2026-08-15 11:00,2026-08-10 00:00,CAND0367,2026-08-11 03:00,2026-08-11 07:00,100,106456.99
DETAIL0014,NEED0008,CARRIER_A,BUGANG,GWANGYANG,20FT,1,1,2026-08-15 12:00,2026-08-15 12:00,2026-08-10 00:00,CAND0367,2026-08-11 03:00,2026-08-11 07:00,101,106456.99
DETAIL0015,NEED0009,CARRIER_A,BUGANG,GWANGYANG,20FT,1,1,2026-08-15 16:00,2026-08-15 16:00,2026-08-10 00:00,CAND0367,2026-08-11 03:00,2026-08-11 07:00,105,106456.99
DETAIL0016,NEED0010,CARRIER_A,UIWANG,GWANGYANG,40FT,1,2,2026-08-15 08:00,2026-08-15 08:00,2026-08-10 00:00,CAND0367,2026-08-11 00:00,2026-08-11 07:00,97,227801.6
DETAIL0017,NEED0029,CARRIER_B,BUSAN,YAKMOK,20FT,1,1,2026-08-15 11:00,2026-08-15 11:00,2026-08-10 00:00,CAND0177,2026-08-12 06:00,2026-08-12 09:00,74,54870.41
DETAIL0018,NEED0030,CARRIER_B,BUSAN,YAKMOK,20FT,1,1,2026-08-15 14:00,2026-08-15 14:00,2026-08-10 00:00,CAND0177,2026-08-12 06:00,2026-08-12 09:00,77,54870.41
DETAIL0019,NEED0031,CARRIER_B,BUSAN,YAKMOK,20FT,1,1,2026-08-15 15:00,2026-08-15 15:00,2026-08-10 00:00,CAND0177,2026-08-12 06:00,2026-08-12 09:00,78,54870.41
DETAIL0020,NEED0032,CARRIER_B,BUSAN,YAKMOK,20FT,1,1,2026-08-15 16:00,2026-08-15 16:00,2026-08-10 00:00,CAND0177,2026-08-12 06:00,2026-08-12 09:00,79,54870.41
DETAIL0021,NEED0033,CARRIER_B,BUSAN,YAKMOK,20FT,1,1,2026-08-16 06:00,2026-08-16 06:00,2026-08-10 00:00,CAND0177,2026-08-12 06:00,2026-08-12 09:00,93,54870.41
DETAIL0022,NEED0034,CARRIER_B,BUSAN,YAKMOK,20FT,1,1,2026-08-16 11:00,2026-08-16 11:00,2026-08-10 00:00,CAND0177,2026-08-12 06:00,2026-08-12 09:00,98,54870.41
DETAIL0023,NEED0035,CARRIER_B,BUSAN,YAKMOK,20FT,1,1,2026-08-16 12:00,2026-08-16 12:00,2026-08-10 00:00,CAND0177,2026-08-12 06:00,2026-08-12 09:00,99,54870.41
DETAIL0024,NEED0036,CARRIER_B,BUSAN,YAKMOK,40FT,1,2,2026-08-12 15:00,2026-08-12 15:00,2026-08-10 00:00,CAND0177,2026-08-12 06:00,2026-08-12 09:00,6,85070.4
DETAIL0025,NEED0037,CARRIER_B,BUSAN,YAKMOK,40FT,1,2,2026-08-14 10:00,2026-08-14 10:00,2026-08-10 00:00,CAND0177,2026-08-12 06:00,2026-08-12 09:00,49,85070.4
DETAIL0026,NEED0038,CARRIER_B,BUSAN,YAKMOK,40FT,1,2,2026-08-16 11:00,2026-08-16 11:00,2026-08-10 00:00,CAND0177,2026-08-12 06:00,2026-08-12 09:00,98,85070.4
DETAIL0027,NEED0018,CARRIER_B,UIWANG,BUGANG,20FT,1,1,2026-08-11 10:00,2026-08-11 10:00,2026-08-10 00:00,CAND0367,2026-08-11 00:00,2026-08-11 02:00,8,42689.71
DETAIL0028,NEED0019,CARRIER_B,UIWANG,DONGSAN,20FT,1,1,2026-08-13 13:00,2026-08-13 13:00,2026-08-10 00:00,CAND0367,2026-08-11 00:00,2026-08-11 05:00,56,90190.61
DETAIL0029,NEED0020,CARRIER_B,UIWANG,DONGSAN,20FT,1,1,2026-08-14 06:00,2026-08-14 06:00,2026-08-10 00:00,CAND0367,2026-08-11 00:00,2026-08-11 05:00,73,90190.61
DETAIL0030,NEED0021,CARRIER_B,UIWANG,DONGSAN,20FT,1,1,2026-08-14 09:00,2026-08-14 09:00,2026-08-10 00:00,CAND0367,2026-08-11 00:00,2026-08-11 05:00,76,90190.61
DETAIL0031,NEED0022,CARRIER_B,UIWANG,DONGSAN,20FT,1,1,2026-08-14 11:00,2026-08-14 11:00,2026-08-10 00:00,CAND0367,2026-08-11 00:00,2026-08-11 05:00,78,90190.61
DETAIL0032,NEED0023,CARRIER_B,UIWANG,DONGSAN,20FT,2,2,2026-08-16 11:00,2026-08-16 11:00,2026-08-10 00:00,CAND0367,2026-08-11 00:00,2026-08-11 05:00,126,180381.22
DETAIL0033,NEED0024,CARRIER_B,UIWANG,GWANGYANG,20FT,1,1,2026-08-13 16:00,2026-08-13 16:00,2026-08-10 00:00,CAND0367,2026-08-11 00:00,2026-08-11 07:00,57,146932.03
DETAIL0034,NEED0025,CARRIER_B,UIWANG,GWANGYANG,20FT,1,1,2026-08-14 10:00,2026-08-14 10:00,2026-08-10 00:00,CAND0367,2026-08-11 00:00,2026-08-11 07:00,75,146932.03
DETAIL0035,NEED0026,CARRIER_B,UIWANG,GWANGYANG,20FT,1,1,2026-08-14 14:00,2026-08-14 14:00,2026-08-10 00:00,CAND0367,2026-08-11 00:00,2026-08-11 07:00,79,146932.03
DETAIL0036,NEED0027,CARRIER_B,UIWANG,GWANGYANG,20FT,1,1,2026-08-15 08:00,2026-08-15 08:00,2026-08-10 00:00,CAND0367,2026-08-11 00:00,2026-08-11 07:00,97,146932.03
DETAIL0037,NEED0028,CARRIER_B,UIWANG,GWANGYANG,20FT,1,1,2026-08-15 10:00,2026-08-15 10:00,2026-08-10 00:00,CAND0367,2026-08-11 00:00,2026-08-11 07:00,99,146932.03
DETAIL0038,NEED0045,CARRIER_C,BUSAN,YAKMOK,40FT,1,2,2026-08-12 16:00,2026-08-12 16:00,2026-08-10 00:00,CAND0177,2026-08-12 06:00,2026-08-12 09:00,7,85070.4
DETAIL0039,NEED0046,CARRIER_C,BUSAN,YAKMOK,40FT,1,2,2026-08-15 13:00,2026-08-15 13:00,2026-08-10 00:00,CAND0177,2026-08-12 06:00,2026-08-12 09:00,76,85070.4
DETAIL0040,NEED0039,CARRIER_C,BUGANG,DONGSAN,20FT,2,2,2026-08-15 08:00,2026-08-15 08:00,2026-08-10 00:00,CAND0367,2026-08-11 03:00,2026-08-11 05:00,99,99431.14
DETAIL0041,NEED0039,CARRIER_C,UIWANG,DONGSAN,20FT,1,1,2026-08-15 08:00,2026-08-15 08:00,2026-08-10 00:00,CAND0367,2026-08-11 00:00,2026-08-11 05:00,99,90190.61
DETAIL0042,NEED0040,CARRIER_C,BUGANG,DONGSAN,20FT,1,1,2026-08-15 10:00,2026-08-15 10:00,2026-08-10 00:00,CAND0367,2026-08-11 03:00,2026-08-11 05:00,101,49715.57
DETAIL0043,NEED0041,CARRIER_C,UIWANG,GWANGYANG,20FT,1,1,2026-08-12 11:00,2026-08-12 11:00,2026-08-10 00:00,CAND0367,2026-08-11 00:00,2026-08-11 07:00,28,146932.03
DETAIL0044,NEED0042,CARRIER_C,UIWANG,GWANGYANG,20FT,1,1,2026-08-12 14:00,2026-08-12 14:00,2026-08-10 00:00,CAND0367,2026-08-11 00:00,2026-08-11 07:00,31,146932.03
DETAIL0045,NEED0043,CARRIER_C,BUGANG,GWANGYANG,20FT,1,1,2026-08-13 12:00,2026-08-13 12:00,2026-08-10 00:00,CAND0367,2026-08-11 03:00,2026-08-11 07:00,53,106456.99
DETAIL0046,NEED0044,CARRIER_C,BUGANG,GWANGYANG,20FT,2,2,2026-08-13 13:00,2026-08-13 13:00,2026-08-10 00:00,CAND0367,2026-08-11 03:00,2026-08-11 07:00,54,212913.98
DETAIL0047,NEED0050,CARRIER_D,DONGSAN,GWANGYANG,20FT,1,1,2026-08-13 15:00,2026-08-13 15:00,2026-08-10 00:00,CAND0367,2026-08-11 05:00,2026-08-11 07:00,56,56741.42
DETAIL0048,NEED0051,CARRIER_D,BUGANG,GWANGYANG,20FT,1,1,2026-08-14 05:00,2026-08-14 05:00,2026-08-10 00:00,CAND0367,2026-08-11 03:00,2026-08-11 07:00,70,106456.99
DETAIL0049,NEED0052,CARRIER_D,UIWANG,GWANGYANG,20FT,1,1,2026-08-14 10:00,2026-08-14 10:00,2026-08-10 00:00,CAND0367,2026-08-11 00:00,2026-08-11 07:00,75,146932.03
DETAIL0050,NEED0053,CARRIER_D,DONGSAN,GWANGYANG,20FT,1,1,2026-08-14 14:00,2026-08-14 14:00,2026-08-10 00:00,CAND0367,2026-08-11 05:00,2026-08-11 07:00,79,56741.42
DETAIL0051,NEED0054,CARRIER_D,BUGANG,GWANGYANG,20FT,1,1,2026-08-14 18:00,2026-08-14 18:00,2026-08-10 00:00,CAND0367,2026-08-11 03:00,2026-08-11 07:00,83,106456.99
DETAIL0052,NEED0068,CARRIER_E,BUSAN,YAKMOK,20FT,1,1,2026-08-14 16:00,2026-08-14 16:00,2026-08-10 00:00,CAND0177,2026-08-12 06:00,2026-08-12 09:00,55,54870.41
DETAIL0053,NEED0070,CARRIER_E,BUSAN,YAKMOK,40FT,1,2,2026-08-12 09:00,2026-08-12 09:00,2026-08-10 00:00,CAND0177,2026-08-12 06:00,2026-08-12 09:00,0,85070.4
DETAIL0054,NEED0071,CARRIER_E,BUSAN,YAKMOK,40FT,1,2,2026-08-12 16:00,2026-08-12 16:00,2026-08-10 00:00,CAND0177,2026-08-12 06:00,2026-08-12 09:00,7,85070.4
DETAIL0055,NEED0072,CARRIER_E,BUSAN,YAKMOK,40FT,1,2,2026-08-13 14:00,2026-08-13 14:00,2026-08-10 00:00,CAND0177,2026-08-12 06:00,2026-08-12 09:00,29,85070.4
DETAIL0056,NEED0073,CARRIER_E,BUSAN,YAKMOK,40FT,1,2,2026-08-16 07:00,2026-08-16 07:00,2026-08-10 00:00,CAND0177,2026-08-12 06:00,2026-08-12 09:00,94,85070.4
DETAIL0057,NEED0055,CARRIER_E,BUGANG,DONGSAN,20FT,2,2,2026-08-14 12:00,2026-08-14 12:00,2026-08-10 00:00,CAND0367,2026-08-11 03:00,2026-08-11 05:00,79,99431.14
DETAIL0058,NEED0056,CARRIER_E,UIWANG,DONGSAN,20FT,1,1,2026-08-15 10:00,2026-08-15 10:00,2026-08-10 00:00,CAND0367,2026-08-11 00:00,2026-08-11 05:00,101,90190.61
DETAIL0059,NEED0057,CARRIER_E,BUGANG,DONGSAN,40FT,1,2,2026-08-14 07:00,2026-08-14 07:00,2026-08-10 00:00,CAND0367,2026-08-11 03:00,2026-08-11 05:00,74,77078.4
DETAIL0060,NEED0058,CARRIER_E,UIWANG,DONGSAN,40FT,1,2,2026-08-16 14:00,2026-08-16 14:00,2026-08-10 00:00,CAND0367,2026-08-11 00:00,2026-08-11 05:00,129,139830.4
DETAIL0061,NEED0059,CARRIER_E,UIWANG,GWANGYANG,20FT,2,2,2026-08-11 08:00,2026-08-11 08:00,2026-08-10 00:00,CAND0367,2026-08-11 00:00,2026-08-11 07:00,1,293864.06
DETAIL0062,NEED0060,CARRIER_E,UIWANG,GWANGYANG,20FT,1,1,2026-08-11 09:00,2026-08-11 09:00,2026-08-10 00:00,CAND0367,2026-08-11 00:00,2026-08-11 07:00,2,146932.03
DETAIL0063,NEED0061,CARRIER_E,UIWANG,GWANGYANG,20FT,3,3,2026-08-11 11:00,2026-08-11 11:00,2026-08-10 00:00,CAND0367,2026-08-11 00:00,2026-08-11 07:00,4,440796.1
DETAIL0064,NEED0062,CARRIER_E,BUGANG,GWANGYANG,20FT,2,2,2026-08-11 14:00,2026-08-11 14:00,2026-08-10 00:00,CAND0367,2026-08-11 03:00,2026-08-11 07:00,7,212913.98
DETAIL0065,NEED0063,CARRIER_E,BUGANG,GWANGYANG,20FT,1,1,2026-08-12 13:00,2026-08-12 13:00,2026-08-10 00:00,CAND0367,2026-08-11 03:00,2026-08-11 07:00,30,106456.99
DETAIL0066,NEED0064,CARRIER_E,UIWANG,GWANGYANG,20FT,1,1,2026-08-13 06:00,2026-08-13 06:00,2026-08-10 00:00,CAND0367,2026-08-11 00:00,2026-08-11 07:00,47,146932.03
DETAIL0067,NEED0065,CARRIER_E,BUGANG,GWANGYANG,20FT,1,1,2026-08-13 08:00,2026-08-13 08:00,2026-08-10 00:00,CAND0367,2026-08-11 03:00,2026-08-11 07:00,49,106456.99
DETAIL0068,NEED0066,CARRIER_E,UIWANG,GWANGYANG,20FT,1,1,2026-08-13 14:00,2026-08-13 14:00,2026-08-10 00:00,CAND0367,2026-08-11 00:00,2026-08-11 07:00,55,146932.03
DETAIL0069,NEED0067,CARRIER_E,UIWANG,GWANGYANG,20FT,1,1,2026-08-14 11:00,2026-08-14 11:00,2026-08-10 00:00,CAND0367,2026-08-11 00:00,2026-08-11 07:00,76,146932.03
DETAIL0070,NEED0074,CARRIER_F,UIWANG,BUGANG,20FT,1,1,2026-08-14 10:00,2026-08-14 10:00,2026-08-10 00:00,CAND0367,2026-08-11 00:00,2026-08-11 02:00,80,42689.71
DETAIL0071,NEED0075,CARRIER_F,UIWANG,BUGANG,20FT,1,1,2026-08-14 11:00,2026-08-14 11:00,2026-08-10 00:00,CAND0367,2026-08-11 00:00,2026-08-11 02:00,81,42689.71
DETAIL0072,NEED0076,CARRIER_F,UIWANG,DONGSAN,20FT,1,1,2026-08-14 07:00,2026-08-14 07:00,2026-08-10 00:00,CAND0367,2026-08-11 00:00,2026-08-11 05:00,74,90190.61
DETAIL0073,NEED0077,CARRIER_F,UIWANG,DONGSAN,20FT,1,1,2026-08-16 17:00,2026-08-16 17:00,2026-08-10 00:00,CAND0367,2026-08-11 00:00,2026-08-11 05:00,132,90190.61
DETAIL0074,NEED0079,CARRIER_F,UIWANG,GWANGYANG,20FT,1,1,2026-08-12 14:00,2026-08-12 14:00,2026-08-10 00:00,CAND0367,2026-08-11 00:00,2026-08-11 07:00,31,146932.03
DETAIL0075,NEED0080,CARRIER_F,UIWANG,GWANGYANG,20FT,1,1,2026-08-13 15:00,2026-08-13 15:00,2026-08-10 00:00,CAND0367,2026-08-11 00:00,2026-08-11 07:00,56,146932.03
DETAIL0076,NEED0081,CARRIER_F,UIWANG,GWANGYANG,20FT,2,2,2026-08-13 16:00,2026-08-13 16:00,2026-08-10 00:00,CAND0367,2026-08-11 00:00,2026-08-11 07:00,57,293864.06
DETAIL0077,NEED0082,CARRIER_F,UIWANG,GWANGYANG,20FT,1,1,2026-08-13 17:00,2026-08-13 17:00,2026-08-10 00:00,CAND0367,2026-08-11 00:00,2026-08-11 07:00,58,146932.03
DETAIL0078,NEED0083,CARRIER_F,UIWANG,GWANGYANG,20FT,1,1,2026-08-14 11:00,2026-08-14 11:00,2026-08-10 00:00,CAND0367,2026-08-11 00:00,2026-08-11 07:00,76,146932.03
DETAIL0079,NEED0084,CARRIER_F,UIWANG,GWANGYANG,20FT,1,1,2026-08-14 14:00,2026-08-14 14:00,2026-08-10 00:00,CAND0367,2026-08-11 00:00,2026-08-11 07:00,79,146932.03
DETAIL0080,NEED0085,CARRIER_F,UIWANG,GWANGYANG,20FT,1,1,2026-08-14 16:00,2026-08-14 16:00,2026-08-10 00:00,CAND0367,2026-08-11 00:00,2026-08-11 07:00,81,146932.03
DETAIL0081,NEED0086,CARRIER_F,UIWANG,GWANGYANG,20FT,1,1,2026-08-14 18:00,2026-08-14 18:00,2026-08-10 00:00,CAND0367,2026-08-11 00:00,2026-08-11 07:00,83,146932.03
