carrier_id,hub_code,hub_name,container_size,base_share,calibration_type
CARRIER_E,BUGANG,부강화물역 CY,40FT,0.17587465,PNC_KITL_50_50_BLEND
CARRIER_F,BUGANG,부강화물역 CY,40FT,0.18129337,PNC_KITL_50_50_BLEND
CARRIER_A,YAKMOK,약목역 CY,20FT,0.46730336,PNC_CALIBRATED
CARRIER_B,YAKMOK,약목역 CY,20FT,0.15015254,PNC_CALIBRATED
CARRIER_C,YAKMOK,약목역 CY,20FT,0.11035946,PNC_CALIBRATED
CARRIER_D,YAKMOK,약목역 CY,20FT,0.0952381,PNC_CALIBRATED
CARRIER_E,YAKMOK,약목역 CY,20FT,0.08608569,PNC_CALIBRATED
CARRIER_F,YAKMOK,약목역 CY,20FT,0.09086086,PNC_CALIBRATED
CARRIER_A,YAKMOK,약목역 CY,40FT,0.29995115,PNC_CALIBRATED
CARRIER_B,YAKMOK,약목역 CY,40FT,0.14509038,PNC_CALIBRATED
CARRIER_C,YAKMOK,약목역 CY,40FT,0.1394724,PNC_CALIBRATED
CARRIER_D,YAKMOK,약목역 CY,40FT,0.14044944,PNC_CALIBRATED
CARRIER_E,YAKMOK,약목역 CY,40FT,0.13751832,PNC_CALIBRATED
CARRIER_F,YAKMOK,약목역 CY,40FT,0.13751832,PNC_CALIBRATED
CARRIER_A,BUSAN,부산신항,20FT,0.46730336,PNC_CALIBRATED
CARRIER_B,BUSAN,부산신항,20FT,0.15015254,PNC_CALIBRATED
CARRIER_C,BUSAN,부산신항,20FT,0.11035946,PNC_CALIBRATED
CARRIER_D,BUSAN,부산신항,20FT,0.0952381,PNC_CALIBRATED
CARRIER_E,BUSAN,부산신항,20FT,0.08608569,PNC_CALIBRATED
CARRIER_F,BUSAN,부산신항,20FT,0.09086086,PNC_CALIBRATED
CARRIER_A,BUSAN,부산신항,40FT,0.29995115,PNC_CALIBRATED
CARRIER_B,BUSAN,부산신항,40FT,0.14509038,PNC_CALIBRATED
CARRIER_C,BUSAN,부산신항,40FT,0.1394724,PNC_CALIBRATED
CARRIER_D,BUSAN,부산신항,40FT,0.14044944,PNC_CALIBRATED
CARRIER_E,BUSAN,부산신항,40FT,0.13751832,PNC_CALIBRATED
CARRIER_F,BUSAN,부산신항,40FT,0.13751832,PNC_CALIBRATED
CARRIER_A,DONGSAN,동산역 CY,20FT,0.19370138,KITL_CALIBRATED
CARRIER_B,DONGSAN,동산역 CY,20FT,0.16922785,KITL_CALIBRATED
CARRIER_C,DONGSAN,동산역 CY,20FT,0.15073041,KITL_CALIBRATED
CARRIER_D,DONGSAN,동산역 CY,20FT,0.14560804,KITL_CALIBRATED
CARRIER_E,DONGSAN,동산역 CY,20FT,0.21874407,KITL_CALIBRATED
CARRIER_F,DONGSAN,동산역 CY,20FT,0.12198824,KITL_CALIBRATED
CARRIER_A,DONGSAN,동산역 CY,40FT,0.11373837,KITL_CALIBRATED
CARRIER_B,DONGSAN,동산역 CY,40FT,0.17744937,KITL_CALIBRATED
CARRIER_C,DONGSAN,동산역 CY,40FT,0.11570881,KITL_CALIBRATED
CARRIER_D,DONGSAN,동산역 CY,40FT,0.15380405,KITL_CALIBRATED
CARRIER_E,DONGSAN,동산역 CY,40FT,0.21423098,KITL_CALIBRATED
CARRIER_F,DONGSAN,동산역 CY,40FT,0.22506842,KITL_CALIBRATED
CARRIER_A,GWANGYANG,신광양항,20FT,0.19370138,KITL_CALIBRATED
CARRIER_B,GWANGYANG,신광양항,20FT,0.16922785,KITL_CALIBRATED
CARRIER_C,GWANGYANG,신광양항,20FT,0.15073041,KITL_CALIBRATED
CARRIER_D,GWANGYANG,신광양항,20FT,0.14560804,KITL_CALIBRATED
CARRIER_E,GWANGYANG,신광양항,20FT,0.21874407,KITL_CALIBRATED
CARRIER_F,GWANGYANG,신광양항,20FT,0.12198824,KITL_CALIBRATED
CARRIER_A,GWANGYANG,신광양항,40FT,0.11373837,KITL_CALIBRATED
CARRIER_B,GWANGYANG,신광양항,40FT,0.17744937,KITL_CALIBRATED
CARRIER_C,GWANGYANG,신광양항,40FT,0.11570881,KITL_CALIBRATED
CARRIER_D,GWANGYANG,신광양항,40FT,0.15380405,KITL_CALIBRATED
CARRIER_E,GWANGYANG,신광양항,40FT,0.21423098,KITL_CALIBRATED
CARRIER_F,GWANGYANG,신광양항,40FT,0.22506842,KITL_CALIBRATED
