recommendation_id,carrier_id,container_size,quantity_boxes,quantity_teu,origin_hub,origin_name,destination_hub,destination_name,train_id,departure_time,arrival_time,available_time,need_count,service_due_time_earliest,service_due_time_latest,physical_distance_km,tariff_distance_km,estimated_rail_charge_krw,participating_carrier_count,train_load_factor,max_earliness_hours,need_ids
REC0020,CARRIER_C,20FT,4,4,YAKMOK,약목역 CY,BUSAN,부산신항,CAND0158,2025-07-02 04:00,2025-07-02 06:00,2025-07-02 09:00,4,2025-07-02 10:00,2025-07-03 13:00,143.7,143.7,219481.64,6,0.5233,28,NEED0067|NEED0068|NEED0069|NEED0070
REC0021,CARRIER_C,20FT,1,1,YAKMOK,약목역 CY,BUSAN,부산신항,CAND0170,2025-07-05 04:00,2025-07-05 06:00,2025-07-05 09:00,1,2025-07-07 17:00,2025-07-07 17:00,143.7,143.7,54870.41,5,0.5008,56,NEED0074
REC0022,CARRIER_D,40FT,1,2,BUGANG,부강화물역 CY,YAKMOK,약목역 CY,CAND0158,2025-07-01 23:00,2025-07-02 01:00,2025-07-02 04:00,1,2025-07-04 09:00,2025-07-04 09:00,152.6,152.6,90339.2,6,0.5233,53,NEED0095
REC0023,CARRIER_D,40FT,1,2,BUGANG,부강화물역 CY,YAKMOK,약목역 CY,CAND0170,2025-07-04 23:00,2025-07-05 01:00,2025-07-05 04:00,1,2025-07-06 14:00,2025-07-06 14:00,152.6,152.6,90339.2,5,0.5008,34,NEED0096
REC0024,CARRIER_D,40FT,5,10,UIWANG,의왕ICD(오봉역),GWANGYANG,신광양항,CAND0707,2025-07-03 18:00,2025-07-04 06:00,2025-07-04 09:00,5,2025-07-04 14:00,2025-07-06 11:00,390.6,384.8,1139008.0,6,0.5009,50,NEED0089|NEED0090|NEED0091|NEED0092|NEED0093
REC0025,CARRIER_E,20FT,1,1,BUGANG,부강화물역 CY,BUSAN,부산신항,CAND0158,2025-07-01 23:00,2025-07-02 06:00,2025-07-02 09:00,1,2025-07-03 13:00,2025-07-03 13:00,296.3,296.3,113139.19,6,0.5233,28,NEED0099
REC0026,CARRIER_E,20FT,2,2,UIWANG,의왕ICD(오봉역),BUSAN,부산신항,CAND0158,2025-07-01 18:00,2025-07-02 06:00,2025-07-02 09:00,2,2025-07-03 11:00,2025-07-03 13:00,408.1,402.3,307228.46,6,0.5233,28,NEED0098|NEED0099
REC0027,CARRIER_E,40FT,1,2,UIWANG,의왕ICD(오봉역),DONGSAN,동산역 CY,CAND0707,2025-07-03 18:00,2025-07-04 01:00,2025-07-04 04:00,1,2025-07-06 16:00,2025-07-06 16:00,242.0,236.2,139830.4,6,0.5009,60,NEED0101
REC0028,CARRIER_E,20FT,5,5,UIWANG,의왕ICD(오봉역),GWANGYANG,신광양항,CAND0707,2025-07-03 18:00,2025-07-04 06:00,2025-07-04 09:00,4,2025-07-04 16:00,2025-07-06 16:00,390.6,384.8,734660.15,6,0.5009,55,NEED0103|NEED0104|NEED0105|NEED0106
REC0029,CARRIER_E,40FT,1,2,UIWANG,의왕ICD(오봉역),GWANGYANG,신광양항,CAND0707,2025-07-03 18:00,2025-07-04 06:00,2025-07-04 09:00,1,2025-07-06 18:00,2025-07-06 18:00,390.6,384.8,227801.6,6,0.5009,57,NEED0107
REC0030,CARRIER_E,20FT,1,1,YAKMOK,약목역 CY,BUSAN,부산신항,CAND0158,2025-07-02 04:00,2025-07-02 06:00,2025-07-02 09:00,1,2025-07-03 10:00,2025-07-03 10:00,143.7,143.7,54870.41,6,0.5233,25,NEED0097
REC0031,CARRIER_F,20FT,8,8,BUGANG,부강화물역 CY,BUSAN,부산신항,CAND0158,2025-07-01 23:00,2025-07-02 06:00,2025-07-02 09:00,6,2025-07-03 14:00,2025-07-04 15:00,296.3,296.3,905113.52,6,0.5233,54,NEED0111|NEED0112|NEED0113|NEED0114|NEED0115|NEED0116
REC0032,CARRIER_F,40FT,1,2,DONGSAN,동산역 CY,GWANGYANG,신광양항,CAND0707,2025-07-04 04:00,2025-07-04 06:00,2025-07-04 09:00,1,2025-07-06 15:00,2025-07-06 15:00,148.6,148.6,87971.2,6,0.5009,54,NEED0126
REC0033,CARRIER_F,20FT,1,1,UIWANG,의왕ICD(오봉역),BUSAN,부산신항,CAND0158,2025-07-01 18:00,2025-07-02 06:00,2025-07-02 09:00,1,2025-07-03 07:00,2025-07-03 07:00,408.1,402.3,153614.23,6,0.5233,22,NEED0110
REC0034,CARRIER_F,20FT,4,4,UIWANG,의왕ICD(오봉역),BUSAN,부산신항,CAND0170,2025-07-04 18:00,2025-07-05 06:00,2025-07-05 09:00,4,2025-07-06 12:00,2025-07-07 13:00,408.1,402.3,614456.92,5,0.5008,52,NEED0117|NEED0118|NEED0119|NEED0120
REC0035,CARRIER_F,20FT,1,1,UIWANG,의왕ICD(오봉역),DONGSAN,동산역 CY,CAND0707,2025-07-03 18:00,2025-07-04 01:00,2025-07-04 04:00,1,2025-07-06 15:00,2025-07-06 15:00,242.0,236.2,90190.61,6,0.5009,59,NEED0121
REC0036,CARRIER_F,20FT,1,1,UIWANG,의왕ICD(오봉역),YAKMOK,약목역 CY,CAND0170,2025-07-04 18:00,2025-07-05 01:00,2025-07-05 04:00,1,2025-07-07 16:00,2025-07-07 16:00,264.4,258.6,98743.82,5,0.5008,60,NEED0129
