recommendation_id,carrier_id,destination_hub,container_size,linked_service_need_teu,linked_need_count,linked_need_due_min,linked_need_due_max,origin_hub,source_release_capacity_cumulative_boxes,assigned_outbound_cumulative_boxes_through_load,source_release_remaining_after_assignment_boxes,recommended_boxes,recommended_teu,train_id,train_load_factor,participating_carrier_count,service_due_time_earliest,service_due_time_latest,arrival_time,available_time,earliness_hours,physical_distance_km,tariff_distance_km,estimated_rail_charge_krw
REC0011,CARRIER_B,BUSAN,20FT,14,9,2025-07-05 11:00,2025-07-07 10:00,UIWANG,76,31,45,13,13,CAND0170,0.5008,5,2025-07-05 11:00,2025-07-07 10:00,2025-07-05 06:00,2025-07-05 09:00,49,408.1,402.3,1996984.99
REC0012,CARRIER_B,BUSAN,40FT,2,1,2025-07-05 10:00,2025-07-05 10:00,UIWANG,23,7,16,1,2,CAND0170,0.5008,5,2025-07-05 10:00,2025-07-05 10:00,2025-07-05 06:00,2025-07-05 09:00,1,408.1,402.3,238161.6
REC0013,CARRIER_B,BUSAN,20FT,14,9,2025-07-03 08:00,2025-07-04 06:00,YAKMOK,14,14,0,14,14,CAND0158,0.5233,6,2025-07-03 08:00,2025-07-04 06:00,2025-07-02 06:00,2025-07-02 09:00,45,143.7,143.7,768185.72
REC0014,CARRIER_B,BUSAN,20FT,2,1,2025-07-07 10:00,2025-07-07 10:00,YAKMOK,28,15,13,1,1,CAND0170,0.5008,5,2025-07-07 10:00,2025-07-07 10:00,2025-07-05 06:00,2025-07-05 09:00,49,143.7,143.7,54870.41
REC0015,CARRIER_B,BUSAN,40FT,8,3,2025-07-02 10:00,2025-07-03 06:00,YAKMOK,4,4,0,4,8,CAND0158,0.5233,6,2025-07-02 10:00,2025-07-03 06:00,2025-07-02 06:00,2025-07-02 09:00,21,143.7,143.7,340281.6
REC0016,CARRIER_C,BUSAN,20FT,1,1,2025-07-06 09:00,2025-07-06 09:00,BUGANG,3,1,2,1,1,CAND0170,0.5008,5,2025-07-06 09:00,2025-07-06 09:00,2025-07-05 06:00,2025-07-05 09:00,24,296.3,296.3,113139.19
REC0017,CARRIER_C,BUSAN,20FT,2,2,2025-07-07 07:00,2025-07-07 10:00,UIWANG,6,6,0,2,2,CAND0170,0.5008,5,2025-07-07 07:00,2025-07-07 10:00,2025-07-05 06:00,2025-07-05 09:00,49,408.1,402.3,307228.46
REC0018,CARRIER_C,BUSAN,40FT,2,1,2025-07-07 13:00,2025-07-07 13:00,UIWANG,2,1,1,1,2,CAND0170,0.5008,5,2025-07-07 13:00,2025-07-07 13:00,2025-07-05 06:00,2025-07-05 09:00,52,408.1,402.3,238161.6
REC0019,CARRIER_C,DONGSAN,20FT,4,4,2025-07-04 11:00,2025-07-06 06:00,UIWANG,7,4,3,4,4,CAND0707,0.5009,6,2025-07-04 11:00,2025-07-06 06:00,2025-07-04 01:00,2025-07-04 04:00,50,242.0,236.2,360762.44
REC0020,CARRIER_C,BUSAN,20FT,4,4,2025-07-02 10:00,2025-07-03 13:00,YAKMOK,5,4,1,4,4,CAND0158,0.5233,6,2025-07-02 10:00,2025-07-03 13:00,2025-07-02 06:00,2025-07-02 09:00,28,143.7,143.7,219481.64
REC0021,CARRIER_C,BUSAN,20FT,1,1,2025-07-07 17:00,2025-07-07 17:00,YAKMOK,5,5,0,1,1,CAND0170,0.5008,5,2025-07-07 17:00,2025-07-07 17:00,2025-07-05 06:00,2025-07-05 09:00,56,143.7,143.7,54870.41
REC0022,CARRIER_D,YAKMOK,40FT,2,1,2025-07-04 09:00,2025-07-04 09:00,BUGANG,5,1,4,1,2,CAND0158,0.5233,6,2025-07-04 09:00,2025-07-04 09:00,2025-07-02 01:00,2025-07-02 04:00,53,152.6,152.6,90339.2
REC0023,CARRIER_D,YAKMOK,40FT,2,1,2025-07-06 14:00,2025-07-06 14:00,BUGANG,5,2,3,1,2,CAND0170,0.5008,5,2025-07-06 14:00,2025-07-06 14:00,2025-07-05 01:00,2025-07-05 04:00,34,152.6,152.6,90339.2
REC0024,CARRIER_D,GWANGYANG,40FT,10,5,2025-07-04 14:00,2025-07-06 11:00,UIWANG,6,5,1,5,10,CAND0707,0.5009,6,2025-07-04 14:00,2025-07-06 11:00,2025-07-04 06:00,2025-07-04 09:00,50,390.6,384.8,1139008.0
REC0025,CARRIER_E,BUSAN,20FT,2,1,2025-07-03 13:00,2025-07-03 13:00,BUGANG,1,1,0,1,1,CAND0158,0.5233,6,2025-07-03 13:00,2025-07-03 13:00,2025-07-02 06:00,2025-07-02 09:00,28,296.3,296.3,113139.19
REC0026,CARRIER_E,BUSAN,20FT,3,2,2025-07-03 11:00,2025-07-03 13:00,UIWANG,33,2,31,2,2,CAND0158,0.5233,6,2025-07-03 11:00,2025-07-03 13:00,2025-07-02 06:00,2025-07-02 09:00,28,408.1,402.3,307228.46
REC0027,CARRIER_E,DONGSAN,40FT,2,1,2025-07-06 16:00,2025-07-06 16:00,UIWANG,4,2,2,1,2,CAND0707,0.5009,6,2025-07-06 16:00,2025-07-06 16:00,2025-07-04 01:00,2025-07-04 04:00,60,242.0,236.2,139830.4
REC0028,CARRIER_E,GWANGYANG,20FT,5,4,2025-07-04 16:00,2025-07-06 16:00,UIWANG,49,7,42,5,5,CAND0707,0.5009,6,2025-07-04 16:00,2025-07-06 16:00,2025-07-04 06:00,2025-07-04 09:00,55,390.6,384.8,734660.15
REC0029,CARRIER_E,GWANGYANG,40FT,2,1,2025-07-06 18:00,2025-07-06 18:00,UIWANG,4,2,2,1,2,CAND0707,0.5009,6,2025-07-06 18:00,2025-07-06 18:00,2025-07-04 06:00,2025-07-04 09:00,57,390.6,384.8,227801.6
REC0030,CARRIER_E,BUSAN,20FT,1,1,2025-07-03 10:00,2025-07-03 10:00,YAKMOK,6,1,5,1,1,CAND0158,0.5233,6,2025-07-03 10:00,2025-07-03 10:00,2025-07-02 06:00,2025-07-02 09:00,25,143.7,143.7,54870.41
REC0031,CARRIER_F,BUSAN,20FT,8,6,2025-07-03 14:00,2025-07-04 15:00,BUGANG,8,8,0,8,8,CAND0158,0.5233,6,2025-07-03 14:00,2025-07-04 15:00,2025-07-02 06:00,2025-07-02 09:00,54,296.3,296.3,905113.52
REC0032,CARRIER_F,GWANGYANG,40FT,2,1,2025-07-06 15:00,2025-07-06 15:00,DONGSAN,2,1,1,1,2,CAND0707,0.5009,6,2025-07-06 15:00,2025-07-06 15:00,2025-07-04 06:00,2025-07-04 09:00,54,148.6,148.6,87971.2
REC0033,CARRIER_F,BUSAN,20FT,1,1,2025-07-03 07:00,2025-07-03 07:00,UIWANG,21,1,20,1,1,CAND0158,0.5233,6,2025-07-03 07:00,2025-07-03 07:00,2025-07-02 06:00,2025-07-02 09:00,22,408.1,402.3,153614.23
REC0034,CARRIER_F,BUSAN,20FT,4,4,2025-07-06 12:00,2025-07-07 13:00,UIWANG,25,7,18,4,4,CAND0170,0.5008,5,2025-07-06 12:00,2025-07-07 13:00,2025-07-05 06:00,2025-07-05 09:00,52,408.1,402.3,614456.92
REC0035,CARRIER_F,DONGSAN,20FT,1,1,2025-07-06 15:00,2025-07-06 15:00,UIWANG,22,2,20,1,1,CAND0707,0.5009,6,2025-07-06 15:00,2025-07-06 15:00,2025-07-04 01:00,2025-07-04 04:00,59,242.0,236.2,90190.61
REC0036,CARRIER_F,YAKMOK,20FT,1,1,2025-07-07 16:00,2025-07-07 16:00,UIWANG,25,7,18,1,1,CAND0170,0.5008,5,2025-07-07 16:00,2025-07-07 16:00,2025-07-05 01:00,2025-07-05 04:00,60,264.4,258.6,98743.82
