access_date,source,carrier_code,container_size,count,definition,url
2026-08-09,PNC,COS,20FT,61,PNC terminal Empty container status; 20DC,https://svc.pncport.com/info/
2026-08-09,KITL,SKR,20FT,0,Releasable empty containers; 20,https://info.kitl.com/jsp/T05/banchul_allow.jsp
2026-08-09,KITL,SML,20FT,16,Releasable empty containers; 20,https://info.kitl.com/jsp/T05/banchul_allow.jsp
2026-08-09,KITL,TSL,20FT,95,Releasable empty containers; 20,https://info.kitl.com/jsp/T05/banchul_allow.jsp
2026-08-09,KITL,YML,20FT,83,Releasable empty containers; 20,https://info.kitl.com/jsp/T05/banchul_allow.jsp
2026-08-09,KITL,CKL,40FT,91,Releasable empty containers; 40+40HQ,https://info.kitl.com/jsp/T05/banchul_allow.jsp
2026-08-09,KITL,CMA,40FT,198,Releasable empty containers; 40+40HQ,https://info.kitl.com/jsp/T05/banchul_allow.jsp
2026-08-09,KITL,COH,40FT,29,Releasable empty containers; 40+40HQ,https://info.kitl.com/jsp/T05/banchul_allow.jsp
2026-08-09,KITL,COS,40FT,96,Releasable empty containers; 40+40HQ,https://info.kitl.com/jsp/T05/banchul_allow.jsp
2026-08-09,KITL,DJS,40FT,42,Releasable empty containers; 40+40HQ,https://info.kitl.com/jsp/T05/banchul_allow.jsp
2026-08-09,KITL,DOJ,40FT,21,Releasable empty containers; 40+40HQ,https://info.kitl.com/jsp/T05/banchul_allow.jsp
2026-08-09,KITL,DYS,40FT,6,Releasable empty containers; 40+40HQ,https://info.kitl.com/jsp/T05/banchul_allow.jsp
2026-08-09,KITL,EAS,40FT,240,Releasable empty containers; 40+40HQ,https://info.kitl.com/jsp/T05/banchul_allow.jsp
2026-08-09,KITL,EMA,40FT,344,Releasable empty containers; 40+40HQ,https://info.kitl.com/jsp/T05/banchul_allow.jsp
2026-08-09,KITL,ESL,40FT,90,Releasable empty containers; 40+40HQ,https://info.kitl.com/jsp/T05/banchul_allow.jsp
2026-08-09,KITL,HMM,40FT,396,Releasable empty containers; 40+40HQ,https://info.kitl.com/jsp/T05/banchul_allow.jsp
2026-08-09,KITL,KMD,40FT,265,Releasable empty containers; 40+40HQ,https://info.kitl.com/jsp/T05/banchul_allow.jsp
2026-08-09,KITL,NSL,40FT,1,Releasable empty containers; 40+40HQ,https://info.kitl.com/jsp/T05/banchul_allow.jsp
2026-08-09,KITL,ONE,40FT,284,Releasable empty containers; 40+40HQ,https://info.kitl.com/jsp/T05/banchul_allow.jsp
2026-08-09,KITL,OOL,40FT,429,Releasable empty containers; 40+40HQ,https://info.kitl.com/jsp/T05/banchul_allow.jsp
2026-08-09,KITL,PCL,40FT,155,Releasable empty containers; 40+40HQ,https://info.kitl.com/jsp/T05/banchul_allow.jsp
2026-08-09,KITL,POL,40FT,29,Releasable empty containers; 40+40HQ,https://info.kitl.com/jsp/T05/banchul_allow.jsp
2026-08-09,KITL,SIT,40FT,24,Releasable empty containers; 40+40HQ,https://info.kitl.com/jsp/T05/banchul_allow.jsp
2026-08-09,KITL,SKR,40FT,19,Releasable empty containers; 40+40HQ,https://info.kitl.com/jsp/T05/banchul_allow.jsp
2026-08-09,KITL,SML,40FT,14,Releasable empty containers; 40+40HQ,https://info.kitl.com/jsp/T05/banchul_allow.jsp
2026-08-09,KITL,TSL,40FT,60,Releasable empty containers; 40+40HQ,https://info.kitl.com/jsp/T05/banchul_allow.jsp
2026-08-09,KITL,YML,40FT,212,Releasable empty containers; 40+40HQ,https://info.kitl.com/jsp/T05/banchul_allow.jsp
