carrier_id,hub_code,hub_name,container_size,base_prior_share,demand_share,supply_share,carrier_type,supply_role_hub,demand_role_hub,is_supply_base,is_demand_base,source_type,source_note,lambda_value,role_tilt,random_seed
CARRIER_C,BUGANG,부강화물역 CY,40FT,0.18969368,0.13949312,0.18969368,MAJOR,GWANGYANG,DONGSAN,False,False,BLENDED_SYNTHETIC,경부/서남 두 축이 접속하는 중간거점. λ=0.55 혼합 합성 profile. 실측값 아님.,0.55,1.1,20260810
CARRIER_D,BUGANG,부강화물역 CY,40FT,0.15273707,0.11231671,0.15273707,MAJOR,BUSAN,GWANGYANG,False,False,BLENDED_SYNTHETIC,경부/서남 두 축이 접속하는 중간거점. λ=0.55 혼합 합성 profile. 실측값 아님.,0.55,1.1,20260810
CARRIER_E,BUGANG,부강화물역 CY,40FT,0.03342571,0.02457993,0.03342571,MAJOR,UIWANG,YAKMOK,False,False,BLENDED_SYNTHETIC,경부/서남 두 축이 접속하는 중간거점. λ=0.55 혼합 합성 profile. 실측값 아님.,0.55,1.1,20260810
CARRIER_F,BUGANG,부강화물역 CY,40FT,0.23157605,0.17029174,0.23157605,OTHERS_POOL,NONE,NONE,False,False,BLENDED_SYNTHETIC,경부/서남 두 축이 접속하는 중간거점. λ=0.55 혼합 합성 profile. 실측값 아님.,0.55,1.1,20260810
CARRIER_A,YAKMOK,약목역 CY,20FT,0.22682588,0.42522693,0.22682588,MAJOR,BUSAN,YAKMOK,False,True,PNC_DERIVED_SYNTHETIC,경부축 내륙거점. 부산권 prior 를 λ=0.85 로 혼합한 합성 profile. 실측값 아님.,0.85,1.1,20260810
CARRIER_B,YAKMOK,약목역 CY,20FT,0.2218552,0.1384439,0.2218552,MAJOR,UIWANG,BUGANG,False,False,PNC_DERIVED_SYNTHETIC,경부축 내륙거점. 부산권 prior 를 λ=0.85 로 혼합한 합성 profile. 실측값 아님.,0.85,1.1,20260810
CARRIER_C,YAKMOK,약목역 CY,20FT,0.04936759,0.03080677,0.04936759,MAJOR,GWANGYANG,DONGSAN,False,False,PNC_DERIVED_SYNTHETIC,경부축 내륙거점. 부산권 prior 를 λ=0.85 로 혼합한 합성 profile. 실측값 아님.,0.85,1.1,20260810
CARRIER_D,YAKMOK,약목역 CY,20FT,0.32403502,0.20220699,0.32403502,MAJOR,BUSAN,GWANGYANG,False,False,PNC_DERIVED_SYNTHETIC,경부축 내륙거점. 부산권 prior 를 λ=0.85 로 혼합한 합성 profile. 실측값 아님.,0.85,1.1,20260810
CARRIER_E,YAKMOK,약목역 CY,20FT,0.07379376,0.13834001,0.07379376,MAJOR,UIWANG,YAKMOK,False,True,PNC_DERIVED_SYNTHETIC,경부축 내륙거점. 부산권 prior 를 λ=0.85 로 혼합한 합성 profile. 실측값 아님.,0.85,1.1,20260810
CARRIER_F,YAKMOK,약목역 CY,20FT,0.10412255,0.06497541,0.10412255,OTHERS_POOL,NONE,NONE,False,False,PNC_DERIVED_SYNTHETIC,경부축 내륙거점. 부산권 prior 를 λ=0.85 로 혼합한 합성 profile. 실측값 아님.,0.85,1.1,20260810
CARRIER_A,YAKMOK,약목역 CY,40FT,0.28171564,0.52992666,0.28171564,MAJOR,BUSAN,YAKMOK,False,True,PNC_DERIVED_SYNTHETIC,경부축 내륙거점. 부산권 prior 를 λ=0.85 로 혼합한 합성 profile. 실측값 아님.,0.85,1.1,20260810
CARRIER_B,YAKMOK,약목역 CY,40FT,0.20657383,0.12934694,0.20657383,MAJOR,UIWANG,BUGANG,False,False,PNC_DERIVED_SYNTHETIC,경부축 내륙거점. 부산권 prior 를 λ=0.85 로 혼합한 합성 profile. 실측값 아님.,0.85,1.1,20260810
CARRIER_C,YAKMOK,약목역 CY,40FT,0.25017146,0.15664576,0.25017146,MAJOR,GWANGYANG,DONGSAN,False,False,PNC_DERIVED_SYNTHETIC,경부축 내륙거점. 부산권 prior 를 λ=0.85 로 혼합한 합성 profile. 실측값 아님.,0.85,1.1,20260810
CARRIER_D,YAKMOK,약목역 CY,40FT,0.15920091,0.09968422,0.15920091,MAJOR,BUSAN,GWANGYANG,False,False,PNC_DERIVED_SYNTHETIC,경부축 내륙거점. 부산권 prior 를 λ=0.85 로 혼합한 합성 profile. 실측값 아님.,0.85,1.1,20260810
CARRIER_E,YAKMOK,약목역 CY,40FT,0.01618994,0.0304544,0.01618994,MAJOR,UIWANG,YAKMOK,False,True,PNC_DERIVED_SYNTHETIC,경부축 내륙거점. 부산권 prior 를 λ=0.85 로 혼합한 합성 profile. 실측값 아님.,0.85,1.1,20260810
CARRIER_F,YAKMOK,약목역 CY,40FT,0.08614821,0.05394201,0.08614821,OTHERS_POOL,NONE,NONE,False,False,PNC_DERIVED_SYNTHETIC,경부축 내륙거점. 부산권 prior 를 λ=0.85 로 혼합한 합성 profile. 실측값 아님.,0.85,1.1,20260810
CARRIER_A,BUSAN,부산신항,20FT,0.23637087,0.23637087,0.31732649,MAJOR,BUSAN,YAKMOK,True,False,PNC_CALIBRATED,PNC 정보조회서비스 2026-08-09 Empty 현황 snapshot 의 점유율 shape 을 직접 사용. PNC 단일 터미널 시점자료이며 부산항 전체 재고나 전국 점유율이 아님.,1.0,1.1,20260810
CARRIER_B,BUSAN,부산신항,20FT,0.24393156,0.24393156,0.10900751,MAJOR,UIWANG,BUGANG,False,False,PNC_CALIBRATED,PNC 정보조회서비스 2026-08-09 Empty 현황 snapshot 의 점유율 shape 을 직접 사용. PNC 단일 터미널 시점자료이며 부산항 전체 재고나 전국 점유율이 아님.,1.0,1.1,20260810
CARRIER_C,BUSAN,부산신항,20FT,0.02865101,0.02865101,0.01280349,MAJOR,GWANGYANG,DONGSAN,False,False,PNC_CALIBRATED,PNC 정보조회서비스 2026-08-09 Empty 현황 snapshot 의 점유율 shape 을 직접 사용. PNC 단일 터미널 시점자료이며 부산항 전체 재고나 전국 점유율이 아님.,1.0,1.1,20260810
CARRIER_D,BUSAN,부산신항,20FT,0.38121767,0.38121767,0.51178245,MAJOR,BUSAN,GWANGYANG,True,False,PNC_CALIBRATED,PNC 정보조회서비스 2026-08-09 Empty 현황 snapshot 의 점유율 shape 을 직접 사용. PNC 단일 터미널 시점자료이며 부산항 전체 재고나 전국 점유율이 아님.,1.0,1.1,20260810
CARRIER_E,BUSAN,부산신항,20FT,0.06406685,0.06406685,0.02863003,MAJOR,UIWANG,YAKMOK,False,False,PNC_CALIBRATED,PNC 정보조회서비스 2026-08-09 Empty 현황 snapshot 의 점유율 shape 을 직접 사용. PNC 단일 터미널 시점자료이며 부산항 전체 재고나 전국 점유율이 아님.,1.0,1.1,20260810
CARRIER_F,BUSAN,부산신항,20FT,0.04576204,0.04576204,0.02045002,OTHERS_POOL,NONE,NONE,False,False,PNC_CALIBRATED,PNC 정보조회서비스 2026-08-09 Empty 현황 snapshot 의 점유율 shape 을 직접 사용. PNC 단일 터미널 시점자료이며 부산항 전체 재고나 전국 점유율이 아님.,1.0,1.1,20260810
CARRIER_A,BUSAN,부산신항,40FT,0.3160723,0.3160723,0.48470233,MAJOR,BUSAN,YAKMOK,True,False,PNC_CALIBRATED,PNC 정보조회서비스 2026-08-09 Empty 현황 snapshot 의 점유율 shape 을 직접 사용. PNC 단일 터미널 시점자료이며 부산항 전체 재고나 전국 점유율이 아님.,1.0,1.1,20260810
CARRIER_B,BUSAN,부산신항,40FT,0.22007816,0.22007816,0.11234188,MAJOR,UIWANG,BUGANG,False,False,PNC_CALIBRATED,PNC 정보조회서비스 2026-08-09 Empty 현황 snapshot 의 점유율 shape 을 직접 사용. PNC 단일 터미널 시점자료이며 부산항 전체 재고나 전국 점유율이 아님.,1.0,1.1,20260810
CARRIER_C,BUSAN,부산신항,40FT,0.28041036,0.28041036,0.14313927,MAJOR,GWANGYANG,DONGSAN,False,False,PNC_CALIBRATED,PNC 정보조회서비스 2026-08-09 Empty 현황 snapshot 의 점유율 shape 을 직접 사용. PNC 단일 터미널 시점자료이며 부산항 전체 재고나 전국 점유율이 아님.,1.0,1.1,20260810
CARRIER_D,BUSAN,부산신항,40FT,0.16243283,0.16243283,0.24909355,MAJOR,BUSAN,GWANGYANG,True,False,PNC_CALIBRATED,PNC 정보조회서비스 2026-08-09 Empty 현황 snapshot 의 점유율 shape 을 직접 사용. PNC 단일 터미널 시점자료이며 부산항 전체 재고나 전국 점유율이 아님.,1.0,1.1,20260810
CARRIER_E,BUSAN,부산신항,40FT,0.00757206,0.00757206,0.00386526,MAJOR,UIWANG,YAKMOK,False,False,PNC_CALIBRATED,PNC 정보조회서비스 2026-08-09 Empty 현황 snapshot 의 점유율 shape 을 직접 사용. PNC 단일 터미널 시점자료이며 부산항 전체 재고나 전국 점유율이 아님.,1.0,1.1,20260810
CARRIER_F,BUSAN,부산신항,40FT,0.01343429,0.01343429,0.00685772,OTHERS_POOL,NONE,NONE,False,False,PNC_CALIBRATED,PNC 정보조회서비스 2026-08-09 Empty 현황 snapshot 의 점유율 shape 을 직접 사용. PNC 단일 터미널 시점자료이며 부산항 전체 재고나 전국 점유율이 아님.,1.0,1.1,20260810
CARRIER_A,DONGSAN,동산역 CY,20FT,0.18228261,0.14100939,0.18228261,MAJOR,BUSAN,YAKMOK,False,False,KITL_DERIVED_SYNTHETIC,서남축 내륙거점. 광양권 prior 를 λ=0.15 로 혼합한 합성 profile. 실측값 아님.,0.15,1.1,20260810
CARRIER_B,DONGSAN,동산역 CY,20FT,0.11883219,0.0919257,0.11883219,MAJOR,UIWANG,BUGANG,False,False,KITL_DERIVED_SYNTHETIC,서남축 내륙거점. 광양권 prior 를 λ=0.15 로 혼합한 합성 profile. 실측값 아님.,0.15,1.1,20260810
CARRIER_C,DONGSAN,동산역 CY,20FT,0.14604495,0.33940113,0.14604495,MAJOR,GWANGYANG,DONGSAN,False,True,KITL_DERIVED_SYNTHETIC,서남축 내륙거점. 광양권 prior 를 λ=0.15 로 혼합한 합성 profile. 실측값 아님.,0.15,1.1,20260810
CARRIER_D,DONGSAN,동산역 CY,20FT,0.05718265,0.04423511,0.05718265,MAJOR,BUSAN,GWANGYANG,False,False,KITL_DERIVED_SYNTHETIC,서남축 내륙거점. 광양권 prior 를 λ=0.15 로 혼합한 합성 profile. 실측값 아님.,0.15,1.1,20260810
CARRIER_E,DONGSAN,동산역 CY,20FT,0.11918601,0.0921994,0.11918601,MAJOR,UIWANG,YAKMOK,False,False,KITL_DERIVED_SYNTHETIC,서남축 내륙거점. 광양권 prior 를 λ=0.15 로 혼합한 합성 profile. 실측값 아님.,0.15,1.1,20260810
CARRIER_F,DONGSAN,동산역 CY,20FT,0.37647159,0.29122927,0.37647159,OTHERS_POOL,NONE,NONE,False,False,KITL_DERIVED_SYNTHETIC,서남축 내륙거점. 광양권 prior 를 λ=0.15 로 혼합한 합성 profile. 실측값 아님.,0.15,1.1,20260810
CARRIER_A,DONGSAN,동산역 CY,40FT,0.12138457,0.09961251,0.12138457,MAJOR,BUSAN,YAKMOK,False,False,KITL_DERIVED_SYNTHETIC,서남축 내륙거점. 광양권 prior 를 λ=0.15 로 혼합한 합성 profile. 실측값 아님.,0.15,1.1,20260810
CARRIER_B,DONGSAN,동산역 CY,40FT,0.1435536,0.1178052,0.1435536,MAJOR,UIWANG,BUGANG,False,False,KITL_DERIVED_SYNTHETIC,서남축 내륙거점. 광양권 prior 를 λ=0.15 로 혼합한 합성 profile. 실측값 아님.,0.15,1.1,20260810
CARRIER_C,DONGSAN,동산역 CY,40FT,0.10905663,0.26886011,0.10905663,MAJOR,GWANGYANG,DONGSAN,False,True,KITL_DERIVED_SYNTHETIC,서남축 내륙거점. 광양권 prior 를 λ=0.15 로 혼합한 합성 profile. 실측값 아님.,0.15,1.1,20260810
CARRIER_D,DONGSAN,동산역 CY,40FT,0.14411862,0.11826888,0.14411862,MAJOR,BUSAN,GWANGYANG,False,False,KITL_DERIVED_SYNTHETIC,서남축 내륙거점. 광양권 prior 를 λ=0.15 로 혼합한 합성 profile. 실측값 아님.,0.15,1.1,20260810
CARRIER_E,DONGSAN,동산역 CY,40FT,0.05640674,0.04628939,0.05640674,MAJOR,UIWANG,YAKMOK,False,False,KITL_DERIVED_SYNTHETIC,서남축 내륙거점. 광양권 prior 를 λ=0.15 로 혼합한 합성 profile. 실측값 아님.,0.15,1.1,20260810
CARRIER_F,DONGSAN,동산역 CY,40FT,0.42547984,0.34916392,0.42547984,OTHERS_POOL,NONE,NONE,False,False,KITL_DERIVED_SYNTHETIC,서남축 내륙거점. 광양권 prior 를 λ=0.15 로 혼합한 합성 profile. 실측값 아님.,0.15,1.1,20260810
CARRIER_A,GWANGYANG,신광양항,20FT,0.17273762,0.17273762,0.12946734,MAJOR,BUSAN,YAKMOK,False,False,KITL_CALIBRATED,KITL 광양 반출가능 공컨수량 2026-08-09 snapshot 의 점유율 shape 을 직접 사용. 데미지·홀딩·지정·선적·환적 제외 물량이며 yard stock 전체가 아님.,0.0,1.1,20260810
CARRIER_B,GWANGYANG,신광양항,20FT,0.09675583,0.09675583,0.07251877,MAJOR,UIWANG,BUGANG,False,False,KITL_CALIBRATED,KITL 광양 반출가능 공컨수량 2026-08-09 snapshot 의 점유율 shape 을 직접 사용. 데미지·홀딩·지정·선적·환적 제외 물량이며 yard stock 전체가 아님.,0.0,1.1,20260810
CARRIER_C,GWANGYANG,신광양항,20FT,0.16676153,0.16676153,0.37548541,MAJOR,GWANGYANG,DONGSAN,True,False,KITL_CALIBRATED,KITL 광양 반출가능 공컨수량 2026-08-09 snapshot 의 점유율 shape 을 직접 사용. 데미지·홀딩·지정·선적·환적 제외 물량이며 yard stock 전체가 아님.,0.0,1.1,20260810
CARRIER_D,GWANGYANG,신광양항,20FT,0.0,0.0,0.0,MAJOR,BUSAN,GWANGYANG,False,True,KITL_CALIBRATED,KITL 광양 반출가능 공컨수량 2026-08-09 snapshot 의 점유율 shape 을 직접 사용. 데미지·홀딩·지정·선적·환적 제외 물량이며 yard stock 전체가 아님.,0.0,1.1,20260810
CARRIER_E,GWANGYANG,신광양항,20FT,0.12891292,0.12891292,0.0966206,MAJOR,UIWANG,YAKMOK,False,False,KITL_CALIBRATED,KITL 광양 반출가능 공컨수량 2026-08-09 snapshot 의 점유율 shape 을 직접 사용. 데미지·홀딩·지정·선적·환적 제외 물량이며 yard stock 전체가 아님.,0.0,1.1,20260810
CARRIER_F,GWANGYANG,신광양항,20FT,0.4348321,0.4348321,0.32590789,OTHERS_POOL,NONE,NONE,False,False,KITL_CALIBRATED,KITL 광양 반출가능 공컨수량 2026-08-09 snapshot 의 점유율 shape 을 직접 사용. 데미지·홀딩·지정·선적·환적 제외 물량이며 yard stock 전체가 아님.,0.0,1.1,20260810
CARRIER_A,GWANGYANG,신광양항,40FT,0.08702791,0.06786541,0.07515599,MAJOR,BUSAN,YAKMOK,False,False,KITL_CALIBRATED,KITL 광양 반출가능 공컨수량 2026-08-09 snapshot 의 점유율 shape 을 직접 사용. 데미지·홀딩·지정·선적·환적 제외 물량이며 yard stock 전체가 아님.,0.0,1.1,20260810
CARRIER_B,GWANGYANG,신광양항,40FT,0.13004926,0.10141398,0.11230857,MAJOR,UIWANG,BUGANG,False,False,KITL_CALIBRATED,KITL 광양 반출가능 공컨수량 2026-08-09 snapshot 의 점유율 shape 을 직접 사용. 데미지·홀딩·지정·선적·환적 제외 물량이며 yard stock 전체가 아님.,0.0,1.1,20260810
CARRIER_C,GWANGYANG,신광양항,40FT,0.07881773,0.06146302,0.20448096,MAJOR,GWANGYANG,DONGSAN,True,False,KITL_CALIBRATED,KITL 광양 반출가능 공컨수량 2026-08-09 snapshot 의 점유율 shape 을 직접 사용. 데미지·홀딩·지정·선적·환적 제외 물량이며 yard stock 전체가 아님.,0.0,1.1,20260810
CARRIER_D,GWANGYANG,신광양항,40FT,0.1408867,0.33005312,0.12166762,MAJOR,BUSAN,GWANGYANG,False,True,KITL_CALIBRATED,KITL 광양 반출가능 공컨수량 2026-08-09 snapshot 의 점유율 shape 을 직접 사용. 데미지·홀딩·지정·선적·환적 제외 물량이며 yard stock 전체가 아님.,0.0,1.1,20260810
CARRIER_E,GWANGYANG,신광양항,40FT,0.06502463,0.05070699,0.05615428,MAJOR,UIWANG,YAKMOK,False,False,KITL_CALIBRATED,KITL 광양 반출가능 공컨수량 2026-08-09 snapshot 의 점유율 shape 을 직접 사용. 데미지·홀딩·지정·선적·환적 제외 물량이며 yard stock 전체가 아님.,0.0,1.1,20260810
CARRIER_F,GWANGYANG,신광양항,40FT,0.49819376,0.38849748,0.43023258,OTHERS_POOL,NONE,NONE,False,False,KITL_CALIBRATED,KITL 광양 반출가능 공컨수량 2026-08-09 snapshot 의 점유율 shape 을 직접 사용. 데미지·홀딩·지정·선적·환적 제외 물량이며 yard stock 전체가 아님.,0.0,1.1,20260810
