need_id,carrier_id,destination,destination_name,container_size,quantity,teu,due_time,due_slot,priority,need_reason,inventory_lb,rail_served_boxes,rail_served_teu,rail_unserved_boxes,rail_unserved_teu
NEED0032,CARRIER_B,BUGANG,부강화물역 CY,40FT,1,2,2025-07-11 14:00,86,1,FORECAST_STOCKOUT,0,1,2,0,0
NEED0033,CARRIER_B,BUSAN,부산신항,20FT,2,2,2025-07-10 20:00,68,1,FORECAST_STOCKOUT,0,2,2,0,0
NEED0034,CARRIER_B,BUSAN,부산신항,20FT,1,1,2025-07-11 05:00,77,1,FORECAST_STOCKOUT,0,1,1,0,0
NEED0035,CARRIER_B,BUSAN,부산신항,20FT,2,2,2025-07-11 09:00,81,1,FORECAST_STOCKOUT,0,2,2,0,0
NEED0036,CARRIER_B,BUSAN,부산신항,20FT,3,3,2025-07-11 10:00,82,1,FORECAST_STOCKOUT,0,3,3,0,0
NEED0037,CARRIER_B,BUSAN,부산신항,20FT,2,2,2025-07-11 11:00,83,1,FORECAST_STOCKOUT,0,2,2,0,0
NEED0038,CARRIER_B,BUSAN,부산신항,20FT,2,2,2025-07-11 12:00,84,1,FORECAST_STOCKOUT,0,2,2,0,0
NEED0039,CARRIER_B,BUSAN,부산신항,20FT,1,1,2025-07-11 14:00,86,1,FORECAST_STOCKOUT,0,1,1,0,0
NEED0040,CARRIER_B,BUSAN,부산신항,20FT,3,3,2025-07-11 15:00,87,1,FORECAST_STOCKOUT,0,3,3,0,0
NEED0041,CARRIER_B,BUSAN,부산신항,20FT,1,1,2025-07-11 16:00,88,1,FORECAST_STOCKOUT,0,1,1,0,0
NEED0042,CARRIER_B,BUSAN,부산신항,20FT,1,1,2025-07-11 17:00,89,1,FORECAST_STOCKOUT,0,1,1,0,0
NEED0043,CARRIER_B,BUSAN,부산신항,20FT,1,1,2025-07-12 07:00,103,1,FORECAST_STOCKOUT,0,1,1,0,0
NEED0044,CARRIER_B,BUSAN,부산신항,20FT,1,1,2025-07-12 08:00,104,1,FORECAST_STOCKOUT,0,1,1,0,0
NEED0045,CARRIER_B,BUSAN,부산신항,20FT,1,1,2025-07-12 11:00,107,1,FORECAST_STOCKOUT,0,1,1,0,0
NEED0046,CARRIER_B,BUSAN,부산신항,20FT,1,1,2025-07-12 12:00,108,1,FORECAST_STOCKOUT,0,1,1,0,0
NEED0047,CARRIER_B,BUSAN,부산신항,20FT,2,2,2025-07-13 07:00,127,1,FORECAST_STOCKOUT,0,2,2,0,0
NEED0048,CARRIER_C,BUSAN,부산신항,20FT,2,2,2025-07-10 15:00,63,1,FORECAST_STOCKOUT,0,2,2,0,0
NEED0049,CARRIER_C,BUSAN,부산신항,20FT,1,1,2025-07-10 16:00,64,1,FORECAST_STOCKOUT,0,1,1,0,0
NEED0050,CARRIER_C,BUSAN,부산신항,20FT,1,1,2025-07-11 14:00,86,1,FORECAST_STOCKOUT,0,1,1,0,0
NEED0051,CARRIER_C,BUSAN,부산신항,20FT,1,1,2025-07-12 06:00,102,1,FORECAST_STOCKOUT,0,1,1,0,0
NEED0052,CARRIER_C,DONGSAN,동산역 CY,20FT,2,2,2025-07-09 09:00,33,1,FORECAST_STOCKOUT,0,0,0,2,2
NEED0053,CARRIER_C,DONGSAN,동산역 CY,20FT,1,1,2025-07-09 15:00,39,1,FORECAST_STOCKOUT,0,0,0,1,1
NEED0054,CARRIER_C,DONGSAN,동산역 CY,20FT,1,1,2025-07-10 13:00,61,1,FORECAST_STOCKOUT,0,0,0,1,1
NEED0055,CARRIER_C,DONGSAN,동산역 CY,20FT,1,1,2025-07-10 14:00,62,1,FORECAST_STOCKOUT,0,0,0,1,1
NEED0056,CARRIER_C,DONGSAN,동산역 CY,20FT,1,1,2025-07-10 16:00,64,1,FORECAST_STOCKOUT,0,0,0,1,1
NEED0057,CARRIER_C,DONGSAN,동산역 CY,40FT,1,2,2025-07-09 08:00,32,1,FORECAST_STOCKOUT,0,0,0,1,2
NEED0058,CARRIER_C,YAKMOK,약목역 CY,40FT,1,2,2025-07-09 09:00,33,1,FORECAST_STOCKOUT,0,1,2,0,0
NEED0059,CARRIER_C,YAKMOK,약목역 CY,40FT,1,2,2025-07-09 15:00,39,1,FORECAST_STOCKOUT,0,1,2,0,0
NEED0060,CARRIER_C,YAKMOK,약목역 CY,40FT,1,2,2025-07-09 17:00,41,1,FORECAST_STOCKOUT,0,1,2,0,0
NEED0061,CARRIER_C,YAKMOK,약목역 CY,40FT,1,2,2025-07-09 18:00,42,1,FORECAST_STOCKOUT,0,1,2,0,0
NEED0062,CARRIER_D,DONGSAN,동산역 CY,20FT,1,1,2025-07-10 14:00,62,1,FORECAST_STOCKOUT,0,0,0,1,1
NEED0063,CARRIER_D,DONGSAN,동산역 CY,40FT,1,2,2025-07-12 11:00,107,1,FORECAST_STOCKOUT,0,0,0,1,2
NEED0064,CARRIER_D,GWANGYANG,신광양항,40FT,1,2,2025-07-11 17:00,89,1,FORECAST_STOCKOUT,0,0,0,1,2
NEED0065,CARRIER_D,GWANGYANG,신광양항,40FT,1,2,2025-07-12 06:00,102,1,FORECAST_STOCKOUT,0,0,0,1,2
NEED0066,CARRIER_D,GWANGYANG,신광양항,40FT,1,2,2025-07-14 06:00,150,1,FORECAST_STOCKOUT,0,0,0,1,2
NEED0067,CARRIER_D,GWANGYANG,신광양항,40FT,1,2,2025-07-14 12:00,156,1,FORECAST_STOCKOUT,0,0,0,1,2
NEED0068,CARRIER_D,YAKMOK,약목역 CY,20FT,1,1,2025-07-13 11:00,131,1,FORECAST_STOCKOUT,0,1,1,0,0
NEED0069,CARRIER_E,BUSAN,부산신항,20FT,1,1,2025-07-10 11:00,59,1,FORECAST_STOCKOUT,0,1,1,0,0
NEED0070,CARRIER_E,BUSAN,부산신항,20FT,1,1,2025-07-10 12:00,60,1,FORECAST_STOCKOUT,0,1,1,0,0
NEED0071,CARRIER_E,BUSAN,부산신항,20FT,1,1,2025-07-10 15:00,63,1,FORECAST_STOCKOUT,0,1,1,0,0
NEED0072,CARRIER_E,BUSAN,부산신항,20FT,1,1,2025-07-10 16:00,64,1,FORECAST_STOCKOUT,0,1,1,0,0
NEED0073,CARRIER_E,BUSAN,부산신항,20FT,1,1,2025-07-10 18:00,66,1,FORECAST_STOCKOUT,0,1,1,0,0
NEED0074,CARRIER_E,BUSAN,부산신항,20FT,1,1,2025-07-11 10:00,82,1,FORECAST_STOCKOUT,0,1,1,0,0
NEED0075,CARRIER_E,BUSAN,부산신항,20FT,1,1,2025-07-11 11:00,83,1,FORECAST_STOCKOUT,0,1,1,0,0
NEED0076,CARRIER_E,DONGSAN,동산역 CY,20FT,1,1,2025-07-10 09:00,57,1,FORECAST_STOCKOUT,0,0,0,1,1
NEED0077,CARRIER_E,YAKMOK,약목역 CY,20FT,1,1,2025-07-11 14:00,86,1,FORECAST_STOCKOUT,0,1,1,0,0
NEED0078,CARRIER_E,YAKMOK,약목역 CY,20FT,1,1,2025-07-12 08:00,104,1,FORECAST_STOCKOUT,0,1,1,0,0
NEED0079,CARRIER_E,YAKMOK,약목역 CY,20FT,1,1,2025-07-12 09:00,105,1,FORECAST_STOCKOUT,0,1,1,0,0
NEED0080,CARRIER_E,YAKMOK,약목역 CY,20FT,1,1,2025-07-12 11:00,107,1,FORECAST_STOCKOUT,0,1,1,0,0
NEED0081,CARRIER_E,YAKMOK,약목역 CY,20FT,1,1,2025-07-12 13:00,109,1,FORECAST_STOCKOUT,0,1,1,0,0
NEED0082,CARRIER_E,YAKMOK,약목역 CY,20FT,1,1,2025-07-12 15:00,111,1,FORECAST_STOCKOUT,0,1,1,0,0
NEED0083,CARRIER_E,YAKMOK,약목역 CY,20FT,1,1,2025-07-12 17:00,113,1,FORECAST_STOCKOUT,0,1,1,0,0
NEED0084,CARRIER_E,YAKMOK,약목역 CY,20FT,1,1,2025-07-14 07:00,151,1,FORECAST_STOCKOUT,0,1,1,0,0
NEED0085,CARRIER_F,BUSAN,부산신항,20FT,1,1,2025-07-11 17:00,89,1,FORECAST_STOCKOUT,0,1,1,0,0
NEED0086,CARRIER_F,BUSAN,부산신항,20FT,1,1,2025-07-12 10:00,106,1,FORECAST_STOCKOUT,0,1,1,0,0
NEED0087,CARRIER_F,BUSAN,부산신항,20FT,1,1,2025-07-12 11:00,107,1,FORECAST_STOCKOUT,0,1,1,0,0
NEED0088,CARRIER_F,BUSAN,부산신항,20FT,1,1,2025-07-12 12:00,108,1,FORECAST_STOCKOUT,0,1,1,0,0
NEED0089,CARRIER_F,DONGSAN,동산역 CY,20FT,1,1,2025-07-08 11:00,11,1,FORECAST_STOCKOUT,0,0,0,1,1
NEED0090,CARRIER_F,GWANGYANG,신광양항,20FT,1,1,2025-07-13 10:00,130,1,FORECAST_STOCKOUT,0,0,0,1,1
NEED0091,CARRIER_F,GWANGYANG,신광양항,20FT,1,1,2025-07-14 11:00,155,1,FORECAST_STOCKOUT,0,0,0,1,1
NEED0092,CARRIER_F,GWANGYANG,신광양항,20FT,1,1,2025-07-14 13:00,157,1,FORECAST_STOCKOUT,0,0,0,1,1
NEED0093,CARRIER_F,GWANGYANG,신광양항,20FT,1,1,2025-07-14 15:00,159,1,FORECAST_STOCKOUT,0,0,0,1,1
NEED0094,CARRIER_F,GWANGYANG,신광양항,20FT,1,1,2025-07-14 17:00,161,1,FORECAST_STOCKOUT,0,0,0,1,1
NEED0095,CARRIER_F,GWANGYANG,신광양항,20FT,1,1,2025-07-14 18:00,162,1,FORECAST_STOCKOUT,0,0,0,1,1
NEED0096,CARRIER_F,GWANGYANG,신광양항,40FT,1,2,2025-07-14 15:00,159,1,FORECAST_STOCKOUT,0,0,0,1,2
NEED0097,CARRIER_F,YAKMOK,약목역 CY,20FT,1,1,2025-07-12 09:00,105,1,FORECAST_STOCKOUT,0,1,1,0,0
NEED0098,CARRIER_F,YAKMOK,약목역 CY,20FT,1,1,2025-07-12 14:00,110,1,FORECAST_STOCKOUT,0,1,1,0,0
NEED0099,CARRIER_F,YAKMOK,약목역 CY,20FT,1,1,2025-07-13 14:00,134,1,FORECAST_STOCKOUT,0,1,1,0,0
NEED0100,CARRIER_F,YAKMOK,약목역 CY,40FT,1,2,2025-07-10 09:00,57,1,FORECAST_STOCKOUT,0,1,2,0,0
