recommendation_id,carrier_id,container_size,quantity_boxes,quantity_teu,origin_hub,origin_name,destination_hub,destination_name,train_id,departure_time,arrival_time,available_time,need_count,service_due_time_earliest,service_due_time_latest,physical_distance_km,tariff_distance_km,estimated_rail_charge_krw,participating_carrier_count,train_load_factor,max_earliness_hours,need_ids
REC0011,CARRIER_C,20FT,2,2,UIWANG,의왕ICD(오봉역),BUSAN,부산신항,CAND0158,2025-07-08 18:00,2025-07-09 06:00,2025-07-09 09:00,2,2025-07-10 15:00,2025-07-10 16:00,408.1,402.3,307228.46,5,0.6378,31,NEED0048|NEED0049
REC0012,CARRIER_C,40FT,4,8,UIWANG,의왕ICD(오봉역),YAKMOK,약목역 CY,CAND0158,2025-07-08 18:00,2025-07-09 01:00,2025-07-09 04:00,4,2025-07-09 09:00,2025-07-09 18:00,264.4,258.6,612364.8,5,0.6378,14,NEED0058|NEED0059|NEED0060|NEED0061
REC0013,CARRIER_D,20FT,1,1,BUGANG,부강화물역 CY,YAKMOK,약목역 CY,CAND0170,2025-07-11 23:00,2025-07-12 01:00,2025-07-12 04:00,1,2025-07-13 11:00,2025-07-13 11:00,152.6,152.6,58268.78,5,0.5033,31,NEED0068
REC0014,CARRIER_E,20FT,1,1,BUGANG,부강화물역 CY,BUSAN,부산신항,CAND0158,2025-07-08 23:00,2025-07-09 06:00,2025-07-09 09:00,1,2025-07-11 11:00,2025-07-11 11:00,296.3,296.3,113139.19,5,0.6378,50,NEED0075
REC0015,CARRIER_E,20FT,2,2,BUGANG,부강화물역 CY,YAKMOK,약목역 CY,CAND0170,2025-07-11 23:00,2025-07-12 01:00,2025-07-12 04:00,2,2025-07-12 13:00,2025-07-12 17:00,152.6,152.6,116537.56,5,0.5033,13,NEED0081|NEED0083
REC0016,CARRIER_E,20FT,6,6,UIWANG,의왕ICD(오봉역),BUSAN,부산신항,CAND0158,2025-07-08 18:00,2025-07-09 06:00,2025-07-09 09:00,6,2025-07-10 11:00,2025-07-11 10:00,408.1,402.3,921685.38,5,0.6378,49,NEED0069|NEED0070|NEED0071|NEED0072|NEED0073|NEED0074
REC0017,CARRIER_E,20FT,1,1,UIWANG,의왕ICD(오봉역),YAKMOK,약목역 CY,CAND0158,2025-07-08 18:00,2025-07-09 01:00,2025-07-09 04:00,1,2025-07-11 14:00,2025-07-11 14:00,264.4,258.6,98743.82,5,0.6378,58,NEED0077
REC0018,CARRIER_E,20FT,5,5,UIWANG,의왕ICD(오봉역),YAKMOK,약목역 CY,CAND0170,2025-07-11 18:00,2025-07-12 01:00,2025-07-12 04:00,5,2025-07-12 08:00,2025-07-14 07:00,264.4,258.6,493719.1,5,0.5033,51,NEED0078|NEED0079|NEED0080|NEED0082|NEED0084
REC0019,CARRIER_F,20FT,1,1,BUGANG,부강화물역 CY,BUSAN,부산신항,CAND0158,2025-07-08 23:00,2025-07-09 06:00,2025-07-09 09:00,1,2025-07-11 17:00,2025-07-11 17:00,296.3,296.3,113139.19,5,0.6378,56,NEED0085
REC0020,CARRIER_F,20FT,3,3,BUGANG,부강화물역 CY,BUSAN,부산신항,CAND0170,2025-07-11 23:00,2025-07-12 06:00,2025-07-12 09:00,3,2025-07-12 10:00,2025-07-12 12:00,296.3,296.3,339417.57,5,0.5033,3,NEED0086|NEED0087|NEED0088
REC0021,CARRIER_F,20FT,2,2,BUGANG,부강화물역 CY,YAKMOK,약목역 CY,CAND0170,2025-07-11 23:00,2025-07-12 01:00,2025-07-12 04:00,2,2025-07-12 09:00,2025-07-12 14:00,152.6,152.6,116537.56,5,0.5033,10,NEED0097|NEED0098
REC0022,CARRIER_F,40FT,1,2,BUGANG,부강화물역 CY,YAKMOK,약목역 CY,CAND0158,2025-07-08 23:00,2025-07-09 01:00,2025-07-09 04:00,1,2025-07-10 09:00,2025-07-10 09:00,152.6,152.6,90339.2,5,0.6378,29,NEED0100
REC0023,CARRIER_F,20FT,1,1,UIWANG,의왕ICD(오봉역),YAKMOK,약목역 CY,CAND0170,2025-07-11 18:00,2025-07-12 01:00,2025-07-12 04:00,1,2025-07-13 14:00,2025-07-13 14:00,264.4,258.6,98743.82,5,0.5033,34,NEED0099
